doc_key,processed_entities,output_tokens
10,water contamination; Cesare Nespola; Protectors of Kronos; Kronos; ABILA; sickness; grassroots action group; deaths; Elodis; pollution; subsequent years; 1998/11/15; local residents; water supply; subsequent years; Minister of Health; Elodis water supply,256
11,arrested; POK; Juliana Vann; dedicated his life; Abila City Prison; Elodis; expected to be released; good spirits; return to work; Protectors of Kronos mission; Karel; fraudulent tax evasion charges; excellent health; Tethyn; Minister of Justice; young.; Elian Karel; GAStech; President's office; Protectors of Kronos; 2009/06/20; POK mission; Chief of Police; March 12,108
12,Elodis city jail; Kronos; 25-year old driver; Elodis; Valeria Edris; Full investigation; Elodis Primary School; Celia Edris; Marcellus Edris; GAStech Truck,50
13,Deaths; Cesare Nespola; Pollution; Healthcare for rural towns; Juliana Vann; Activist group; Local residents; Good health; 1999/07/08; Environmental cleanup; Benzene poisoning; Upstream from her home; Gas drilling operations; Leukemia; Water supply; Clean water; Sickness; Kronos; Death; 10-year old girl; Protectors of Kronos (POK); 20; Elodis water supply,256
14,Gas Drilling Operations; Citizens of Elodis; Chlorine Dioxide; Kronos; Wellness for All; Chronic Illness; Elodis; Acetic Anhydride; Persons Younger Than 30; Arsenic; Elodis Community Health Center; 1998/05/16; Benzene; Medical Record,68
15,Birthday; Contaminated water; Money; Cases of bottled water; Rally; ABILA; Money going; Elodis; Benefit; 2009/03/12; Karel; President; Gas drilling; Elian Karel; Attorney; GAStech; Protectors of Kronos; Kronos; Community; Saturday morning; Michale Kraft; Michale Kraft,320
16,POK; corruption; Juliana Vann; Elian Karel's journey; police; Elodis; Elian Karel's friends; Elian; public officials; pepper spray; Jeroen Karel; Elian Karel's father; Elian's journey; environmental catastrophe; Silvia Marek; crowd; crowd; Elian Karel's family; Elian Karel's neighbor; Elian Karel; Elodis farm; assembly; Kronos; Protectors of Kronos; batons; victims; Henk Bodrogi; greed,512
17,GAStech; Kronos; ABILA; Luxury vehicles; Public officials; Mansions; Unfettered kleptocracy; Kronos capital building,35
18,Environmental toxins; Mestache Vardshvna; Public monies; Kronos; Protectors of Kronos; Free speech; Government transparency; 2012/09/08; Juliana Vann's death; Elian Karel; Juliana Vann; Elian Karel's death; Drinking water,65
19,2011/06/21; Government; Family; drinking water; POK supporters; Cremation; Inquiries; Charges; POK; government; morning; corruption; Poison; Kraft; Juliana Vann; Body; photographs; Abila Police Station; government lies; Police; stability; small group; Release; cancer; June 19th; Elodis; Elian; Abila; benzene toxins; Natural Causes; morning; Water; Elian Karel; GAStech; violence; police retaliation; Justice; Juliana; Kronos; Custody; Death; Chief of Police; Trial; young martyr; lies,367
20,"IPO; Mr. St. George, Jr.; Mrs. Avila; 5 million cubic meters; International operations; Miriam Avila; Production; control; Registered offices; G; Centrum; Daily; GAStech; Willem Vasco-PAIS; Kronos; CIO ADA Campo-Corrente; t Orhan Strum; Tethys; CFO Ingrid Barranco",345
21,GAStech; Annual Company; Akidnapping; Edvard Vann; Kronos; Meeting; President Sten St. George Jr.; Guard of Safety; Government of Kronos; Kronos Guards; Office; Abila; Department; Fire; Department of Fire; Tethys; President de GAStech,512
22,Government; building; blocking; faces; POK; died; Adrien; Comment; environment; GAStech employees; GAStech; Civil servant; Official report; Report; ABILA; doors; GAStech building; environmental damage; protestateurs; complaint; latitude; Public safety; Future gatherings; entry; contamination; Incident; Safety; people; gathering; GAStech; group; Kronos,328
23,"observations; GAStech; Sten St George, Jr.; IPO; G; wind; Kronos; city; falls; event; Blog; Abila; groups; journalists; phase; plans; Haneson Ngohebo; recent",256
24,Protest; Singing; POK; Citizens; Chaos; Escape; Singers; Sirens; Siopa; Report; Guards; Violence; Slogans; Opposition; Peace; Protesters; Justice for Elan; Fires; Unjustifiable.; Juliana; Kronos; Buildings; Disfigured; Change; Elan Carol; Store; Fire,89
25,"Two planes; jet; Fuel; Rome, Italy; celebration; ABILA; relaxed; Danisliau; Control of GAStech; Rome; passengers; fueler; Ravi Danisliau; GAStech; Kronos; business types; Departure of GAStech; 14 to 16 planes; hurry; Italy",190
26,Government; diseases; government; Blame; Investigations; Harmful; Tiskele; Elodis; Finger; suburbs; residents; Research; study; GAStech; Kronos; People; plans; Health; Government Report; Precipitated,113
27,Leader; Government; Car; Carman d' Adrien; POK; Police force,256
28,Sabaragamuwa; Udawalawe Reservoir; 30 June 1972; Uva Provinces; Sri Lanka; Walawe River; Colombo; Walaw; Udawalawe National Park,256
29,Mandate; Country; Kronos; Results; Vision; Shine Araullo; Election; October 1; Dorel Kapelou II; Vote; Former President Luis,37
30,GAStech duel; problem; government; being studied; defect; evacuation; broken bones; ABILA; death; collars; Sri Lanka; Elodis; methane; useless; gas; spark.; wellheads; functioning; GAStech International; explosion; wellhead; official cause; employees; minor burns; residents; curve of Tiskele; GAStech; ringed; pins; Kronos; spark; functioning by them; functioning by them; fire; damage; 2000/08/18,138
31,GAStech; police force; Kronos; police force spokesman; Michale Kraft; Elan Carol,256
32,Government; civil servants; Environmental questions; POK; government; Rock; Tiskele; pollution; Rufus Drymiau; Elodis; protests; Police force; Trashing buildings; riots; arrests; curve; GAStech; Skirmishes; Kronos; counterproductive; actions; Arrests; Tire,113
33,flights; civils servant; defended; protests.; change; government; windows; promise; declaration; Hagar Awelon; report; protests; Abila; groups; support; last year; usual; more.; attacked; safety; riots; guards; son; business; store; Siopa d' Abila; made; goods; Kronos; lives; bottom; fear; protesters; Elan Carol,107
34,sales of drug; violence; Kronos; violent one groups of activist; leaning; shore; Abila; drug; increase; people of Kronos; guards of Kronos; questions connected by drug,256
35,police force; POK; government; member; criminal; Elodis; missing; Abila; terrorist; communication; 14; president; employees; innocence.; GAStech; stone unturned; police force; Edvard Vann de GAStech; Kronos; constraint,296
36,GAStech; Kronos; Valeria Edris; Rufus Drymiau; hospital; Elodis family; armine Edria; Abila; Celia Edris; Marcellus Edris,256
37,GAStech; International employees; Credit; Way ahead; Kronos; Kidnapping; Infrastructure; 14 people; Work; People; Assistance; Lack,40
38,chromium; xylene; government; activists; WFA; pressure; Elodis; contamination; toluene; water; guards; barium; community; action; arsenic; GAStech; Kronos; selenium; activist; benzene; lead,57
39,Industrialists of Kronos; Kronos; 13; President Dorel Kapelou II; 85; 2; 1.0%; Democratic Party of Kronos; General Meeting; Ren Touvi,57
40,personal force; President Kapelou; threats; POK; letters; attention-seeking organization; ABILA; nothing; health; reinforce; safety; chances; nephew; reply; public threat; Kronos; quote; size; fact; President Kapelou; Vincent Kapelou,70
41,blood; Government; breath; Metal Boxes; Protests; police force; plaza; Shields; smoke; Consequences; Guards; signs; Abila; Force; Sticks; arrest; banners; Teargas; Protesters; police force; Disperse; Kronos; Riot; riot; Activists; Police Force; Smoke,302
42,Government; They; Spray; change; POK; prison; Siopa; Rufus Drymiau; stupid; Stupid; Windows; sing; spray; Signs; prison; seem; things; Kronos; Protectors of Kronos; Change; Emilio Haber; Buildings; Rocks; Police Force; belong; buildings,309
43,Government; State-owned property; Soil; Protect; government; Tiskele; Sick; Abila; GAStech International; protect; Water; Duty; Government; cooperate; Ground; beginning.; people; GAStech; Kronos; People; duty; international,276
44,countryside; drinking water; chromium; xylene; threat; POK; government; Juliana Vann; intoxication; WFA; literature; June 19; deaths; Elodis; intoxications; protests; Abila; destruction; contamination; address; demonstrations; toluene; image; violent activities; water; riots; barium; world; martyrdom; peaceful protests; Elian Karel; GAStech Tiskele; people; action; arsenic; GAStech; disease; violence; Juliana; Protectors of Kronos; Kronos; selenium; traditional fields; benzene; lead; public.,224
45,environmental issues; government; government buildings; government officials; Elodis; pollution; Rufus Drymiau; GAStech International; trespassing; tire burnings; rock throwing; Tiskele Bend; GAStech; rioting; water contamination; Kronos; Protectors of Kronos; protesters; government response,70
46,police; Siopa; clashes with the police; Kronos; violent demonstrations; Protectors of Kronos; Siopa district; Emilio Haber; POK; opportunistic vandalism; Rufus Drymiau; officer; government spokesman; Belize; Belize City; shop owner; jail; public threat,256
47,Police; GAStech; Government; Edvard Vann; Kronos; Unaccounted For; President; POK; Abila; 14 GAStech Employees; Terrorist Group,40
48,Natural gas; Government; Duty; Contamination; Kronos; Government of Kronos; Elodis; Protect; Drilling process; Sick; People; Tiskele Bend; GAStech International; People,47
49,contamination; report; government officials; Tiskele Bend site; rural township; appeals; Elodis; complaints; government report; people of Elodis; investigation; people; government report; Government officials; GAStech International; health issues,256
50,GAStech; Miriam Avila; Government reception; CIO Ada Campo-Corrente; Centrum; Tethys; Kronos; COO Orhan Strum; CFO Ingrid Barranco; IPO filings; Kronos headquarters; GAStech International,73
51,Government; Deaths; Peaceful protests; Contamination; POK; Tax evasion; Radical; WFA; Violent; GAStech International; Poisonings; Downplayed; Jeroen Karel; Government of Kronos; Funding Issues; Public threat; Elian Karel; Funding; Tiskele Bend; Activist; Riots; Government action; Drinking Water; Demonstrations; Juliana; Protectors of Kronos; Kronos; World; Traditional Farmland,334
52,Kronos; 2010/10/03; ABILA; 13; President Dorel Kapelou II; Party of Kronos Industrialists; 85; 2; Democratic Party of Kronos; General Assembly; Ren Touvi,57
53,June 19; Kronos; Protests; Siopa district; Government statement; Government of Kronos; Riots; Abila; Safety; Elian Karel; Shop-owner; Hagar Awelon,256
54,DWLU; 2215 hrs; 4/3/1994; PEDESTRN SUBJECT TO SIGNAL; Cusema; 1500 hrs; Blumiau; Gudenz; Kibaliau; Mordecai; Central Bulletin; 1630 hrs; ABILA; Abila; 3/20/1981; 9/20/1974; 2011/11/23; Hollande; 2205 hrs; 1/7/1992; Dunna; 0003 hrs; 2/15/1995; 3/26/1981; 7/2/1995; Accused of: DRUG PARAPHERNALIA; POSSESSION OF; 3/17/1971,256
55,chromium; xylene; toluene; Kronos; Wellness for All; Protectors of Kronos; selenium; Elodis; 1998/11/16; barium; benzene; lead; GAStech International; arsenic,54
56,country; 36%; Kronos; 1 October election; 62%; Dorel Kapelou II; Luis Araullo; vision; mandate,31
57,GAStech; GAStech employees; Kronos; GAStech Headquarters; GAStech building; GAStech International,256
58,Kronos; Elodis; Valeria Edris; Rufus Drymiau; Celia Edris; 2007/04/11; GAStech International; Marcellus Edris; Carmine Edris,68
59,Government; Protests; Police; Abila police; Protests aligned; Abila; Government security forces; Show of force; Government buildings aligned; Batons; Riot police; Martyrs; Protesters; Government buildings; Images; Protectors of Kronos; Kronos; Protesters aligned; Tear gas; Chants; Arrests,256
60,"GAStech; reporters; Kronos windfalls; Initial Public Offering; Kronos; Kronos IPO; Sten Sanjorge, Jr.; Kronos headquarters; Kronos plans; Kronos leadership group",67
61,10:00; Events; Conflicting Reports; Today's Events; Abila Police Department; Abila Fire Department trucks; Motives; Kronos Government Source; 6 Hours; Interrogated; Kidnapped; Speculation; Edvard Vann; morning meeting; ABILA; 2014/01/20; Missing; Abila Fire Department; Recent News; GAStech International; GAStech Kronos Security Guard; investigation; 14 GAStech Employees; Released; GAStech office; GAStech; Kronos; Protectors of Kronos; Perpetrators; GAStech Kronos Security; Confusing Information; Kronos Government officials; reports; Indication; fire; Tethys,306
62,problem; government; evacuation; GAStech's wellheads; broken bones; ABILA; collars; Sri Lanka; Elodis; GAStech International; local residents; subsequent fire; unnecessary; explosion; methane gas; wellhead; official cause; investigation; minor burns; Tiskele Bend; running through; GAStech; ringed; Kronos; 2000/08/17; four GAStech employees; local residents; set pins; fire; fireball,256
63,Protests; POK; Citizens; Chaos; Siopa; Water Contamination; Elian; Windows; The Protectors; Peaceful means; Shops; Downtown; Elian Karel; Fires; Justice; Juliana; Kronos; Chanting,66
64,GAStech; false; trespassing incident; charges; Protectors of Kronos; lawyer; released; Kronos; Adrien Carman; tax evasion; Michale Kraft; statement; Elian Karel; police spokesman; headquarters.; week's end,55
65,Destroying government property; Logo; Police officers; Kronos; Car; ABILA; Assaulting a police officer; POK; Serious crimes; Spray painting; Next; Police spokesman Adrien Carman; 2013/12/17; Central Bulletin,53
66,Police; Airport; Civil employees; Guided; Centers; Abila; SOURCE: Centrum Sentinel; Passengers; VOICES; Relationships; 20 January 2014; Jet; Limousine; Tethys; Abila; Reporter,66
67,hardly; arrive; 20 gen. 2014; VOICES; what is important to people; 20 January 2014; smoke; fire; Up to now; no test; marked; fire unit; Centrum Sentinel; a blog,49
68,Police; GAStech; Civil employees; Fire signaler; Kronos; Bomb; GAStech-Kronos; Abila; Tethys; News conference,38
69,GAStech; Airport; Jet; Abila; Passengers,15
70,GAStech; police; GAStech employees; constructions; civil employees; yellow perimeter; government; position; word; employees; civil employees; tape,256
71,GAStech; GAS; communication; fire; civil employees; construction; centers,256
72,Captain Federigo Accardi; entering; packing; dismantling; fire unit; civil employees; fire; perimeter; all-free; one; construction; gear,35
73,GAStech; access; fire unit; executive staff; civil employees; reporter; Sanjorge; reporter; construction,256
74,GAStech; Leaders; Country; Speculation; Civil employees; Monies; Kronos; Fortune; Cowlings,55
75,Centrum Sentinel; announced; employ; clear; false alarm; back; VOICES; 20 January 2014; The megaphone of fire unit; send; construction; clear,256
76,GAStech; G; pressure; government reception; Sanjorge; leaders; relationships,256
77,GAStech; lights; sirene; left; inner part; vehicles; policemen; two; centers,256
78,Airport; Classified; Civil employees; Today; Contact; Arrived; Jet; Abila; Airport of Abila; Limousine; Attending; Contact,256
79,from; working; because; it; and; government; misfortunate; means; 20 January 2014; asked; important; signaling; hard; robs; to; lawbreakers; others.; the; is; of; are; an; or; published; they; what; you; occasion; taken; Centrum Sentinel; ones; profit; called; identify; VOICES; people; blog; GAStech; not; this; Kronos; authorized; recover; moreover; megaphone; has; be; been; order,179
80,GAStech; police; which employs; unknown; identifies; minutes ago; ten; news conferences; Abila; missing employs; lack,256
81,breakfast provisioned; questions; state of anonymity; 20 January 2014; reporter; Hullaballoo much; breakfast; VIPs; nothing; approached; construction; Centrum Sentinel; nonemployees; morning; An other employee; Voices; great reunion; one,67
82,Police; GAStech; contact; Breaking Off the News; Kronos; Megaphone; Contact; Staff; Missing; investigation; Employs; Abila; 20 January 2014; Information; kidnapped; 14 individuals,256
83,Comment; GAStech; Leaders; Country; GAStech; National Fire Departments; Construction; Fire,256
84,Voices; lights; sirene; interesting developments; two automobiles; 20 January 2014; squad of the police; Centrum Sentinel; a blog,31
85,GAStech; police; black government sedan; missing; word; employees; hatches; man,29
86,evacuamento bomb threat; threat; evacuamento; bomb threat; bomb,40
87,GAStech; Airport; Classified; Confirm; Missing; Confirm; Confirmed; Jet; Persons; Abila; Relationships; GAStech people; Civil employee,256
88,Leaders; Not reappeared; Appeared; Not seen; Sign; Capitol; Capitol; Other leaders; Sanjorge; Reporter,43
89,GAStech; Kapel; Council; Kapelou; Ministers; Sten Sanjorge,256
90,GAStech; Yesterday; Passenger; CEO Sten Sanjorge; Abila; Reserves; Tethys; Jets,30
91,unknown; classified jet; Abila; passengers; identity; airport,20
92,Centrum Sentinel; police; interrogating; glass elevator; communication; seen; other employee; recognize; people; construction; Reporter; kidnappers,256
93,GAStech; not GAStech; departure; times; eight persons; delegation; classified company; jet; destination; classified company; civil employees; airport,256
94,Corruption; Government; Greed Celebration; Yesterday; Taken Advantage; Native Land; Contrast; Ignorance; Children; United States; Imperialist; Ruin; Civil Employees; Foreign Societies; Chosen Civil Employees; Activities; Centrum Sentinel; Elitist; Inertias; Measures; Law of Defiance; Voices; Resources; Distortion; Businessmen; Lifestyle.; Abolition; People; Kronos People,155
95,GAStech; flame; National Fire Departments; GAStech building; civil employees; 20 January 2014; smoke; construction; evacuation,35
96,the capitol; one reception; the government civil employees; the capitol; 20 January 2014; Sanjorge; The CEO,256
97,POK; government; representative; blindfolded; important; never read.; what is important to people; guided; Centrum Sentinel; never read; message; effectively; VOICES; Petrus Gerhard; readers; Kronos; action of Kronos; position; a blog,60
98,Police; Interest Persons; Suppliers; Kronos; Megaphone; Island; Unit; Comment; Declaration; Credible Information; Missing Individuals,35
99,GAStech; Tethys,47
100,Centrum Sentinel; GAStech; ones; speculating; characterize; suppliers; perhaps; supply; VOICES; what is important to people; means taken; wealth newfound; reason; first executive breakfast; have been taken; confirmed; relationships; a blog,55
101,Squad; Bomb; Threat; Fire unit; 20 January 2014; Squad; Construction; Squad of the bomb; Centrum Sentinel,256
102,POK leader; demands; government; civil employees; contributor; ABILA; responsibility; loudspeakers; citizens; personnel; opinion; impatience; Silvia Marek; international-supervised vote; Daily Pegasus; open microphone; money; common fields; Kronos; 2012/11/11,68
103,incidence; Kronos; cancer; chronic disease; Elodis; 2002/05/27; minister; Abila; HASR; Web site; mortality; Nespola; specialist,40
104,birthday; perforated; POK; government; citizens of Kronos; Food; fiscal evasion; Police Station; Police; protectors of Kronos; police; contaminated water; gas; Elodis; Abila; water boxes; meeting; Karel Saturday; Karel; President; Minister of Justice; community; Elian Karel; bottle; GAStech; Kronos; Michale Kraft,295
105,Julian Vann; POK shakes-rousers; remember; POK; government; corruption; instability; three months; cell; false loads; fiscal evasion; Body; civil employees; Police; police; murder; city; legal demand; death; cancer; toxins; Elodis; Area; Elian; Abila; Natural Causes; City; arrest; Investigation; Julian; Laceraciones; Karel; lawyer; Area; ten years; water; old girl; potable water; cardiac; additional legal demand; false loads; Elian Karel; accusations; GAStech; violence; illicit death; Sources; Kronos; Contact; justice; Elian; Death; Cause; Coroner; Michale Kraft; Trauma; benzene; police station; jail; Prohibitive; Abrasions,768
106,Valeria; three victims; means; program; Carmine; police; city; Elodis; collision; night; Abila; car; Marcellus Edris; son; hospital; family of four; investigation; vehicle; later; Daily Pegasus; Koppolis; children; GAStech; primary school; Celia; Kronos; sent.; commission; police of Elodis; lives; driver; family; 2007/03/21; Koppolis; school; jail,358
107,Vehicles; access; arrested; granted; POK; government; orders; Charley Normand de Elodis; Poison; activists; police; interview; conductors; Tiskele; Elodis; repeated; Abila; Government of; Julian; Demonstrators; officials; Griffith Mabel; Conductors; POK individuals; GAStech; Drivers; Kronos; protestors; jail,768
108,shouts; places; public; remember; POK; Shakes-rousers; transparency in business; Police; Murder; natural resources; ABILA; Elian; Violence; Investigation; City; Kronosian; foreign companies; Julian; Instability; Civil employees; government of Kronos; Karel; 2010/06/21; Elian Karel; Accusations; Kronos; justice; Tax fraud; Death; Coroner,158
109,Government; Additional information; Request; government; food; civil employees; Confirm; Children; Meetings; Outside; Scientific test results; Ball; Elodis; Foot; Abila; Statistics; Aid; person; Medical files; poison; Reese; Option; Pondo Reese; long term; community; children; Window; Documents; Ministry of the Health; fight; Kronos; response; Harvest; Dust; Ministry of the health; Hearing; Health; Henk Bodrogi; Soccer,333
110,Julian Vann; Kriste Brontes; POK; March; Elodis; Calls; Abila; 2009/06/21; Tethyn; President; Minister of Justice; Head of the Police; Office; Daily Pegasus; Elian Karel; Office; Kronos; GAStech de Tethyn; Michale Kraft; Michale Kraft,512
111,Kronos; Community; Chronic Disease; Report; 2004/05/31; Elodis; Municipal Web Site; Daily Pegasus; Mortality; Health; Incidence,43
112,food; Sten Sanjorge; Elod; city; Tiskele; Elodis; editor; old friend; G; Pondo Reese; Mr. hank Fluss; sun; community; weekly; river; GAStech; Mr. Sanjorge; Sten Sanjorge Jr; Kronos; agriculture; newspaper; email; Tethys,772
113,Atmosphere; native city; Measurement; towns; Oil; Water drinking; Nespola; Irrigation; gas; Elodis; Minister; Will Nespola; contamination; Healthcare; environmental group; Bodrogi; Gas; Minister of the health; Foreign development; Kronos; Minister; Henk Bodrogi; Cleaning,324
114,Julian Vann; POK; operations; water supply; leukemia; Nespola; gas; deaths; Elodis; contamination; clean water; children; bottoms; disease; Carmine Osvaldo; Kronos; good health; local residents; benzene,327
115,Julian Vann; six hours; Fiscal incentives; park; demonstrators; infrastructure; electrical systems; government; POK; restoration; towns; yesterday; protest; movement; principles; city; ABILA; gas; transparency; control; Abila; drilling; Jon L.; foreign companies; forced; direction; meeting; responsibility; expenses; health; Demonstrators; cronies; 2009/03/09; ministers; Healthcare; President Araullo; 20 years old; P; Karel; corporations; hospital; Ministers; president; clean water; Mansions; calls; office; Elian Karel; improvements; Protestor; contracts; money; Hospital; improved; Movement; GAStech; Icon; Used name; returned; Adjustment; Kronos; engaged; campaign; immediately; bad; family; position; benefits; Henk Bodrogi; foreign operations,580
116,Julian Vann; protectors; public; government; present deficiency; Mestache Vardshvna; money; posters; September; free speech; colorful images; murder; ABILA; death; cancer; west; transparency; coast; energy; environmental toxins; message; potable water; Elian Karel; money; meetings; Kronos; ten years.,315
117,health for all; dioxide of clorina; water supply; operations; 30; health for everything; toxins; Elodis; chemical agents; health of Elodis Community; acetic anhydride; medical file; citizens; perforate of the gas; chronic disease; 1998/05/17; people; arsenic; Kronos; benzene; Web site; center,80
118,Julian Vann; Assembly; Family; 10 years; Neighbors; Jeroen; POK; Elian's father's father; police; El; Elodis; Elian; Elian's father; aerosol; Constant disease; Jeroen Karel; Silvia Marek; crowd; pepper.; Antaura Karel; Elian Karel; assembly; White candles; Kronos; batons; Friends; Death; Rapt; Henk Bodrogi,340
119,Vehicles; GAStech; II; Kapelou the Jr; Kronos; Citizens; Citizens of Kronos; Sten Sanjorge; Mansions; Luxury,37
120,Government; Doctor; Contamination; Doctor; POK; towns; water supply; Nespola; deaths; Elodis; Minister; contamination; Water; residents; Responsive; disease; group; Kronos; answer; People; Diseases; Health; Suffering,512
121,years; Ferro; Government; Financial aid; health for all; soybeans; Senior executive; Citizens; Oil; Representatives; Agreement; Following day; El; Joclyn Reynolds; Day; 200 years; Health for all; field; Elodis; Development of the gas; Tiskele; Fluss hank; tractor; Representative; Agency; Sanjorge; Following; Earth; Asia South-Eastern; Kronesian; Official Public Document; 15 May; Pondo Reese; Test Results; office; International agency; Above; satellite; per; Help; Efforts; Reynolds; Natural disasters; GAStech; Kronos; Community; occupied.; Material; small piece; earthquake; Henk Bodrogi; Cleaning; package,644
