doc_type,chunk_idx,entities,latency,input_tokens,output_tokens,article_name
news_article,0,"All News Today; POK; 2005/04/06; ELODIS; Kronos; Protectors of Kronos; Tiskele Bend GAStech; ""This is Our Land""; ""Songs of the Farmer""; ""The Weavers of our Homeland""; 2012/04/09; ABILA; Silvia Marek; 1993/02/02; President Luis Araullo; 86-14 vote; Minister of the Interior Tomas Sarto; Petrus Gerhard; 1998/03/20; Homeland Illumination.",4.599896192550659,1134,116,All News Today
news_article,1,ELODIS; Kronos; Tiskele River; Mt; People of Kronos; Pondo Reese; Elodis Weekly Journal; Tiskele Bend; GAStech International; Sten Sanjorge Jr; Tethys; 1961; Sten Sanjorge Sr; Hank Fluss; Sanjorge Sr; Osvaldo; Henk Bodrogi; All News Today; 250 years; Two weeks; '94; 6500; one- and two-story; generations; All News Today,4.69633936882019,1122,109,All News Today
news_article,2,Bodrogi; All News Today; Elodis; Kronos; 1998/05/15; Elodis Weekly Journal; Pondo Resses; Henk Bodrogi; Ministry of Health; Wellness For All; 2004/05/29; Elodis Community Health Center; 2013/06/21; Abila; June 19th; Protectors of Kronos; Tiskele River,4.3246259689331055,1117,90,All News Today
news_article,3,"Abila Police; Abila; Kronos; Juliana Vann; 1998; All News Today; TAX MEASURE DEFEATED, POK EFFORTS STALLED; 2001/03/22; Cesare Nespola; General Assembly; Protectors of Kronos; Elodis; Henk Bodrogi; Homeland Illumination; POK REPRESENTATIVES MEET WITH KRONOS MINISTER OF HEALTH; 1998/11/15; ABILA, Kronos; Protectors of Kronos (POK); 1997",4.355040788650513,1119,117,All News Today
news_article,4,"POK; 1997; Elodis; All News Today; Elian Karel; 2009/06/20; ABILA, Kronos; Protectors of Kronos; March 12; Juliana Vann; 1998; Tethyn; GAStech; President's office; Minister of Justice; Chief of Police; 2007/03/21; ELODIS, Kronos; Elodis Primary School; Adian Koppolis; Marcellus Edris; 33; Valeria; 30; Celia; 7; Elodis city jail; Commissioner Koppolis",4.771584749221802,1108,131,All News Today
news_article,5,GAStech; Elodis; Commissioner Koppolis; All News Today; Minister of Health; 1999/07/08; ABILA; Kronos; Cesare Nespola; Protectors of Kronos; POK; Carmine Osvaldo; Juliana Vann; 1997; 1998/05/16; Wellness for All; Elodis Community Health Center; arsenic; acetic anhydride; benzene; chlorine dioxide; 2009/03/12; Elian Karel; President,5.130152463912964,1143,114,All News Today
news_article,6,"Karel; Protectors of Kronos; Kronos; Elodis; GAStech; Michale Kraft; All News Today; POK; 2012/06/20; ABILA, Kronos; Elian Karel; 19 June 2009; Silvia Marek; Jeroen; Antaura Karel; Juliana Vann; Henk Bodrogi",3.089218854904175,1076,81,All News Today
news_article,7,All News Today; ABILA; Kronos; GAStech-Kronos; GAStech; Mestache Vardshvna; Elian Karel; Juliana Vann; Protectors of Kronos; 2009; 1998; 2011/06/21; 2012/09/08; 2014/01/19; Elodis; Abila Chief of Police; Kraft,3.743699550628662,1160,89,All News Today
news_article,8,Karel; POK; June 19th; Abila Police Station; Elian; Juliana Vann; 1998; Kronos; GAStech,1.5403132438659668,792,34,All News Today
news_article,0,"Athena Speaks; Haneson Ngohebo; 2014/01/20; ABILA; Kronos; Miriam Avila; GAStech; Sten St. George, Jr.; December 16, 2013; IPO; $1.96 billion; $327.25 million; Ingrid Barranco; ADA Campo-Corrente; Orhan Strum; Willem Vasco-PAIS; $38.5 million; Tethys; 5 million cubic meters; 14; Edvard Vann; 6 a.m.",4.703880071640015,1141,120,Athena Speaks
news_article,1,Edvard Vann; GAStech; Kronos; Abila; January 20; Athena Speaks; 2009/02/21; POK; Carman of Adrien; the department of police force of Abila; the civils servant of government of Kronos; the annual company of GAStech; the office of GAStech; international registered offices of GAStech; the environmental damage; the contamination of the environment; the guards of Kronos; the protestateurs; the faces of the people; the doors of the building; the entry with their building; the increasingly aggressive tactic; the increased aggression of the POK; public safety; the future gatherings; an official report.,5.746003866195679,1031,144,Athena Speaks
news_article,2,"POK; GAStech; Athena Speaks; 2014/01/19; ABILA; Kronos; 8 AM; PRESIDENT Sten St George, Jr.; Haneson Ngohebo; Blog scene; IPO; 2009/06/21; Elan Carol; Siopa; Juliana; Elodis; 1998; government of Kronos",4.303064584732056,1100,81,Athena Speaks
news_article,3,"Athena Speaks; ABILA; Kronos; Ravi Danisliau; 2014/01/20; Rome, Italy; GAStech; 12:30; 14:30; The AIRPORT Of ABILA CONFIRMS TWO PRIVATE TRAVELS OUT OF LEFT JET TODAY; 1997/10/17; Elodis; Tiskele; GOVERNMENT ACKNOWLEDGE ""MINOR"" CONTAMINATION CLOSE TO ELODIS",5.119088172912598,1090,100,Athena Speaks
news_article,4,Athena Speaks; POK; Elodis; Kronos; Tiskele; GAStech; Carman d' Adrien; 2013/12/17; ABILA; BRONZE ATTACK OF TIME OF DAY BY POK,2.8007707595825195,885,53,Athena Speaks
news_article,5,"POK; Athena Speaks; BLOTTER Of ARREST OF POLICE FORCE OF KRONOS - ABILA; 2011/11/23; AWELON, CYNTHE; 3/20/1981; BLUMIAU, WILLEM; 2/15/1995; BODROGI, CARMIN; 12/1/1993; COARDA, SEVE; 5/13/1979; CUSEMA, BRITA; 1/7/1992; DUNNA, THAD; 9/20/1974; GUDENZ, KEL; 7/2/1995; HOLANDE, ANDA; 3/26/1981; KIBALIAU, IYAN; 4/3/1994; MORDECAI, FRANCISCO; 3/17/1971; PEAIRS, MELSHA; 8/31/1952; SALANIAU, FERDINAND; 2/17/1982; VICTOIRE Of CRUMBLING FOR PRESIDENT KAPELOU; 2000/10/04; ABILA,",9.039974212646484,1381,256,Athena Speaks
news_article,6,"Athena Speaks; Kapelou; 2000/08/18; ABILA, Kronos; GAStech International; Tiskele; Elodis; 2009/03/14; Elan Carol; Kronos; Michale Kraft; Carman d' Adrien; Sten St. George, Jr.; GAStech; POK; 2005/09/26; ELODIS, Kronos; GAStech de Kronos",4.711211204528809,1142,99,Athena Speaks
news_article,7,Abila; Kronos; Athena Speaks; 2010/06/15; Tiskele; POK; GAStech; Rufus Drymiau; Elodis; 2011/05/15; Elan Carol; June 19; Hagar Awelon; Siopa d' Abila,3.695145606994629,1120,66,Athena Speaks
news_article,8,Abila; Kronos; Athena Speaks; 2014/01/20; Edvard Vann; GAStech; Kronos Police; POK; Elodis; 17:00; 2007/04/11; Rufus Drymiau; Valeria Edris; Celia Edris; Marcellus Edris; Middle East; Africa; Europe; guards of Kronos,3.2486801147460938,1136,84,Athena Speaks
news_article,9,"Rufus Drymiau; Kronos; Elodis; Valeria Edris; Celia Edris; Marcellus Edris; Carmine Edria; Abila; GAStech; Athena Speaks; 2014/01/20; ABILA, Kronos; 14; 1998/11/17; ELODIS, Kronos; Water for All (WFA); Tethys; benzene; xylene; toluene arsenic; barium; chromium; lead; selenium; Dorel Kapelou II; 2010/10/04; Kronesian",6.352695941925049,1151,128,Athena Speaks
news_article,10,Athena Speaks; President Kapelou II; 2010/10/04; Abila; Kronos; Dorel Kapelou II; Ren Touvi; democratic party of Kronos; organization of the businesses and the part of the trade unions; part of the industrialists of Kronos; 2012/03/10; guards of Kronos (POK); Vincent Kapelou; minister of health; 2010/06/21; group of activist of Kronos (POK); forces of safety of government of Kronos; police force of Abila; riot shields; teargas.,6.267554759979248,1142,129,Athena Speaks
news_article,11,"Athena Speaks; Protectors of Kronos (POK); 2011/07/29; ABILA, Kronos; Kronos; Rufus Drymiau; Siopa; Emilio Haber; Elodis; 1997/04/24; Tiskele; GAStech International; Abila",2.7624497413635254,1132,69,Athena Speaks
news_article,12,"GAStech; Athena Speaks; 2012/08/24; ABILA; Kronos; Elian Karel; Protectors of Kronos; Wellness for All; Elodis; Tiskele; 1997; 1998; benzene; arsenic; toluene; xylene; barium; chromium; lead; selenium; Juliana Vann; Jeroen Karel; June 19, 2009",4.742768526077271,1139,93,Athena Speaks
news_article,13,Elan Karel; 2009; Abila; June 19; POK; government; 2011; Kronos,1.2826979160308838,690,27,Athena Speaks
news_article,0,Central Bulletin; ELODIS; Kronos; Protectors of Kronos; POK; Kronos Government; GAStech International; Tiskele Bend; Rufus Drymiau; Elodis; 2005/09/25; 2011/07/28; ABILA; Siopa district; Emilio Haber; 2014/01/20; Edvard Vann; Kronos Police; Protector of Kronos; GAStech,3.8268675804138175,1157,96,Central Bulletin
news_article,1,"Abila; POK; 6 hours; 14; GAStech; Central Bulletin; POSSIBLE CONTAMINATION IN ELODIS; 1997/04/23; ELODIS, Kronos; 25 km; West of Abila; Elodis; Tiskele River; 20 km; Tiskele Bend; GAStech International; Kronos; natural gas; drilling process; GOVERNMENT CITES 'MINOR' CONTAMINATION NEAR ELODIS; 1997/10/16; ABILA, Kronos; Government of Kronos; Tiskele Bend site contract; GASTECH LEADERSHIP CONFIRMED MISSING; 2014/01/20; Miriam Avila; Government reception; GAStech - Kronos headquarters",6.875485897064209,1135,165,Central Bulletin
news_article,2,Avila; GAStech; Kronos; IPO; $327.25 million; $96.25 million; Ingrid Barranco; Ada Campo-Corrente; Orhan Strum; Centrum; Tethys; GAStech International; 5 million cubic meters; Central Bulletin; 2012/08/23; ABILA; Elian Karel; Protectors of Kronos; POK; 1997; Elodis; Wellness for All; WFA; Government of Kronos; Tiskele Bend; Juliana; 2009; Jeroen Karel; 2011,5.318862199783325,1125,127,Central Bulletin
news_article,3,"2011; Government of Kronos; POK; Central Bulletin; PRESIDENT KAPELOU II ELECTED BY RECORD MARGIN; 2010/10/03; ABILA, Kronos; Dorel Kapelou II; Kronesian; Democratic Party of Kronos; 98.7%; Ren Touvi; Organization of Business and Unions Party; 1.0%; General Assembly; Party of Kronos Industrialists; ANNIVERSARY OF PROTESTS; 2010/06/14; Elian Karel; Protectors of Kronos; June 19; Siopa district; Hagar Awelon",8.333550930023193,969,130,Central Bulletin
news_article,4,"Hagar Awelon; Siopa; Abila; Government of Kronos; Central Bulletin; Kronos Police; Awelon, Cynthe; 3/20/1981; Blumiau, Willem; 2/15/1995; Cusema, Brita; 1/7/1992; Dunna, Thad; 9/20/1974; Gudenz, Kel; 7/2/1995; Holande, Anda; 3/26/1981; Kibaliau, Iyan; 4/3/1994; Mordecai, Francisco; 3/17/1971; Peairs, Melsha; 8/31/1952; Salaniau, Ferdinand; 2/17/1982; Wellness for All; Elodis; GAStech International; Tethys; Protectors of Kronos; President Kapelou; Dorel Kapelou II; 2011/11/23; 1998/11/16; 2000/10/02; benzene; toluene; xylene arsenic; barium; chromium; lead; selenium.",9.66787052154541,1383,249,Central Bulletin
news_article,5,Central Bulletin; President Kapelou; 2000/10/02; Abila; Kronos; Dorel Kapelou II; Luis Araullo; 1 October; GAStech; 2009/02/19; POK; GAStech International; Adrien Carman; Traffic Accident Near Elodis; 2007/04/11; Elodis; Rufus Drymiau; Valeria Edris; Celia Edris; Marcellus Edris; Carmine Edris,5.587452411651611,1097,108,Central Bulletin
news_article,6,"Three; Valeria Edris; Celia Edris; Marcellus Edris; Carmine Edris; Central Bulletin; 2010/06/21; ABILA; Kronos; Protectors of Kronos; POK; Abila; 2014/01/19; Initial Public Offering; CEO; Sten Sanjorge, Jr.; GAStech - Kronos; IPO; GAStech; 2014/01/20; 14; Tethys; Tethan; Edvard Vann; 6 hours",5.39875602722168,1122,114,Central Bulletin
news_article,7,"Edvard Vann; GAStech Kronos; Protectors of Kronos; GAStech International; Abila Police Department; Kronos Government; Abila Fire Department; Central Bulletin; TISKELE BEND EXPLOSION AND FIRE; 2000/08/17; ABILA, Kronos; Tiskele Bend; Elodis; SPONTANEOUS PROTESTS ERUPT AROUND ABILA; 2009/06/21; Elian Karel; Protector of Kronos (POK); Siopa; Justice for Elian; Remember Juliana; Juliana; 1998",5.526407241821289,1087,129,Central Bulletin
news_article,8,Protectors of Kronos; Central Bulletin; 2009/03/13; ABILA; Kronos; Elian Karel; Michale Kraft; Adrien Carman; GAStech - Kronos; 2013/12/17; POK,2.50034499168396,892,54,Central Bulletin
news_article,0,Centrum Sentinel; VOICES - a blog on what is important to people; 20 January 2014; Tethys; Abila; 21 January 2014; GAStech; GAStech-Kronos; 10:15; airport of Abila; 1744; 1251; 1130,3.127584218978882,1141,69,Centrum Sentinel
news_article,1,Centrum Sentinel; VOICES; 20 January 2014; Captain Federigo Accardi; GAStech; Sanjorge; Kronos; Abila; airport of Abila; government of Kronos,2.022364854812622,1176,43,Centrum Sentinel
news_article,2,GAStech; Centrum Sentinel; VOICES - a blog on what is important to people; 21 January 2014; Abila; 20 January 2014; Kronos; National Fire Departments; 20 January 2014; 20 January 2014,3.056190013885498,1113,57,Centrum Sentinel
news_article,3,Centrum Sentinel; VOICES; 20 January 2014; GAStech; Abila; Sanjorge; Kapelou; Council; 21 January 2014; Sten Sanjorge; Tethys,2.558288097381592,1172,47,Centrum Sentinel
news_article,4,Abila; Centrum Sentinel; VOICES - a blog on what is important to people; 20 January 2014; 21 January 2014; GAStech; KRONOS PEOPLE; KLEPTOCRACY; UNITED STATES; $20 MILLION,2.928901672363281,1210,55,Centrum Sentinel
news_article,5,$20 million; Centrum Sentinel; VOICES; 20 January 2014; GAStech; National Fire Departments; 21 January 2014; Petrus Gerhard; Kronos; POK; police of Kronos; island of Kronos; GAStech-Tethys; Sanjorge; social movement of action of Kronos,3.77099347114563,1126,72,Centrum Sentinel
news_article,6,Centrum Sentinel; VOICES; 20 January 2014; GAStech-Tethys; GAStech; 1356; 1837; 1025,1.9464852809906008,789,36,Centrum Sentinel
news_article,0,Daily Pegasus; 2012/11/11; ABILA; Kronos; Silvia Marek; POK; 2002/05/27; ELODIS; Elodis; hyperactive acid retirement of the substratum; HASR; Nespola; general hospital of Abila; 2009/03/13; Elian Karel; fiscal evasion,2.972834587097168,1124,79,Daily Pegasus
news_article,1,Kronos; Elodis; Abila; Karel; GAStech; Michale Kraft; POK; Daily Pegasus; Elian Karel; 2011/06/21; president; minister of the offices of justice; police station; protectors of Kronos; police; jail of Abila,2.9689345359802246,1136,66,Daily Pegasus
news_article,2,"Karel; Abila; Elodis; POK; 19 of June; Elian; Julian Vann; 1998; Daily Pegasus; THE GASTECH CAR STRIKES THE AUTOMOBILE NEAR ELODIS, FAMILY OF FOUR DEAD ONES; 2007/03/21; ELODIS, Kronos; GAStech; Kronos",3.217888355255127,1118,80,Daily Pegasus
news_article,3,Elodis; Fixes Koppolis; Marcellus Edris; Valeria; Celia; Carmine; Abila; GAStech; Daily Pegasus; POK; 2001/09/02; Kronos; Tiskele; Julian; Griffith Mabel; Charley Normand; primary school of Elodis; city of Elodis; the police of Elodis; the curve of Tiskele; the gas of GAStech; the river of Tiskele; the government of Kronos; the company of GAStech; the facility of the operations of the gas of GAStech; the residents of Elodis; the vehicles of the company of GAStech; the doors to the facility of the operations of the gas of GAStech; the seal of Kronos; the POK people; the cars of GAStech; the conductors of GAStech.,7.948741436004639,1130,190,Daily Pegasus
news_article,4,"Charley Normand de Elodis; POK; GAStech; Kronos; Abila; Elodis; Daily Pegasus; Elian Karel; 2010/06/21; ABILA, Kronos; June 19; July of 2010; POK shakes-rousers; Kronosian",2.688242197036743,1111,69,Daily Pegasus
news_article,5,Daily Pegasus; Julian; Elian; ELODIS; KRONOS; 1998/05/17; Kronos; Pondo Reese; Elodis; Tiskele; Henk Bodrogi; Abila; Reese; ministry of the health; ELIAN KAREL; 2009/06/21; ABILA; Elian Karel; Friday; city of Abila,3.864924669265747,1132,84,Daily Pegasus
news_article,6,"Elian Karel; Kronos; Daily Pegasus; 2009/06/21; Abila; March 12; Michale Kraft; protectors of Kronos; POK; Kriste Brontes; Elodis; Julian Vann; 1998; GAStech de Tethyn; president; minister of justice; head of the police; LEAF 2004 OF THE FACT OF THE PUBLIC HEALTH OF ELODIS; 2004/05/31; community of Elodis; municipal Web site of Elodis; ELODIS, KRONOS:  A CITY IN the NECESSITY, part one; 1998/03/21; multinational corporations; government; criminal fact",5.854182004928589,1178,151,Daily Pegasus
news_article,7,Tiskele; Elodis; Kronos; Pondo Reese; GAStech; '94; 1961; Sten Sanjorge Jr; Tethys; Hank Fluss; Sten Sanjorge; 250 years; Two weeks; Mr. Sanjorge,2.862027883529663,1110,59,Daily Pegasus
news_article,8,"Elodis; Reese; GAStech; Henk Bodrogi; Osvaldo; Daily Pegasus; The Defeated Measurement, Efforts of the Tax of POK was Clogged; 2001/03/23; Abila, Kronos; Minister of the health Will stop Nespola; General Assembly; Protectors of Kronos; 25 of April of 1998; Minister of the Health to Propose the Solution to the Environment of the City; 1999/07/08; Prime minister of the health Will stop; Protectors of the group of the activist of Kronos (POK)",5.34554123878479,1132,130,Daily Pegasus
news_article,9,Kronos; POK; Carmine Osvaldo; Nespola; Julian Vann; benzene; Elodis; Daily Pegasus; 2009/03/09; ABILA; Araullo; 1993; Julian Vann; 1998; GAStech; Abila; 1997; Jon L.,3.3969740867614746,1121,72,Daily Pegasus
news_article,10,"Elian Karel; Abila; POK; Henk Bodrogi; Kronos; Daily Pegasus; 2014/03/26; September 7, 2012; Mestache Vardshvna; Julian Vann; 1998",2.4097795486450195,1100,56,Daily Pegasus
news_article,11,Julian Vann; 1998; Daily Pegasus; LEAF OF THE FACT OF THE PUBLIC HEALTH OF ELODIS; 1998/05/17; ELODIS; Kronos; Elodis; the health for all the Web site; the center of the health of Elodis Community; arsenic; the acetic anhydride; the benzene; dioxide of clorina; POK REMEMBERS MARTYRED LEADER; 2012/06/22; ABILA; Wednesday; protectors of the group of the activist of Kronos; Elian Karel; 19 of June of 2009; jail of Kronos; Silvia Marek; Jeroen; Antaura Karel; Elodis; Julian Vann; Jeroen; POK; Henk Bodrogi,7.527990341186523,1153,175,Daily Pegasus
news_article,12,Elian; Abila; Daily Pegasus; 2014/01/19; Kronos; GAStech; GAStech-Kronos; Kapelou the Jr of II; Sten Sanjorge; 1998/11/16; protectors of Kronos (POK); Will stop Nespola; Elodis; Henk Bodrogi; 1997,3.802415370941162,1128,82,Daily Pegasus
news_article,13,"POK; 1997; Elodis; Daily Pegasus; ELODIS, KRONOS:  AID of one divides two of the SOURCE UNEXPECTED; 1998/04/27; Henk Bodrogi; Ferro; Kronos; 200 years; Bodrogi; gas company; water specialist",2.917555809020996,1107,69,Daily Pegasus
news_article,14,GAStech; Elodis; Tiskele; Fluss Hank; Joclyn Reynolds; Health for All; Asia South-Eastern; Bodrodgi; benzene; tolueno; arsenic of xylene; lead; selenium,2.2470803260803223,1090,50,Daily Pegasus
news_article,15,GAStech; Fluss Hank; Elodis; Sten Sanjorge; 1990; Reynolds; Kronos; Pondo Reese; 15 of May of 1998; Daily Pegasus; THE WHO BRINGS A WEAPON TO SEATING INSIDE?; 2013/06/22; ABILA; 19 of June; Tiskele; Kapelou; Abila,3.5969271659851074,1115,84,Daily Pegasus
news_article,16,Daily Pegasus; Julian Vann; 1998; Kronos; Elodis; POK; Abila; 2000/06/01; Nespola; HASR; fenol; acetic anhydride; lead; ethylene glycol; public health of Elodis; general hospital of Abila,3.1505067348480225,1063,69,Daily Pegasus
news_article,17,"Daily Pegasus; 1993/02/04; ABILA; Kronos; Luis Araullo; Sarto Takings; 86-14; 2005/04/07; ELODIS; Protectors of the Organization of the Activist of Kronos (POK); GAStech; Tiskele; ""This Are Our Earth""; ""Songs of the Farmer""; ""The Weavers of Our Mother Country""; 2012/04/10; Silvia Marek; Protectors of the Social Organization of the Action of Kronos",5.092626571655273,1134,114,Daily Pegasus
news_article,18,Marek; Kronos; Elodis; Daily Pegasus; Julian Vann; 1998/08/21; benzene; international health of the organization; GAStech; Tiskele; Tethys; 21 of August,2.300068616867065,968,52,Daily Pegasus
news_article,0,"Everyday News; GAStech; 2013/02/24; Kronos; Tethys; Mediterranean; Kronosian; Sten Sanjorge, Jr; Black Sea; GAStech TV; Europe",2.159677743911743,1106,46,Everyday News
news_article,1,GAStech; Everyday News; 1999/11/16; O.N.U; Singapur THAT TOOK CARE OF; Kosovo; Dr Jayala Mahmed; Malaysia; Izmit; Turkey; Taiwan; Richter; Health for all,3.6427464485168457,1081,50,Everyday News
news_article,2,"Everyday News; March 4, 2010; 2014/03/26; Mediterranean; Karel Kapelou II; Kronos; Petra Hohimae; FoodSupport; Jim Cord; 2500; 100,000",2.900223016738892,1093,52,Everyday News
news_article,3,Everyday News; Kronos de Kronos; 2009/02/23; Kronos de Abila; Kronos; protectors of Kronos; police; POK; Rufus Drymiau; Julian; Tuesday; Abila; Mr. Drymiau; Tethys; 1998; presidential office; Kapalou; health for all; terrorist groups,4.2623066902160645,1065,78,Everyday News
news_article,4,POK; Kronos; Tethys; 1998; Everyday News; Central paper of the center in the industry of the gas of Tethan; 1982/10/03; Sanjorge; Thethys; Sten Sanjorge; Glasgow; North Sea,2.3355886936187744,1132,59,Everyday News
news_article,5,Tethys; Scotland; Sten Sanjorge; 60s; 70s; GAStech; Fluss hank Jr; Co-founder of Sten; Tethan government; 1974; Everyday News; 21 October 2013; Interpol; methyldimethyl cathinone (MDMC),3.820496082305908,1119,70,Everyday News
news_article,6,"Everyday News; 2014/03/26; 21 October 2013; Interpol; Loblaw Robert; Tethys Counterdrug; MDMC; ""caramel of cotton""; ""spice soña""; ""flower of tulip""; Asteria; Tethys; Asterian; APA; ""Arise""; Elodis; 2007/03/19; Abila; GAStech; 9AM; KDT",3.9046592712402335,1125,95,Everyday News
news_article,7,Elodis; GAStech; Kronos; Fixes Koppolis; Everyday News; Abila; 2012/06/21; Abilians; Julian Vann; Elian Karel; POK; Tuesday; 25 years; 9AM (KDT),3.206981420516968,1082,58,Everyday News
news_article,8,Elian Karel; Abila; Kronosian; Julian Vann; GASTech; 1998; POK; GAStech; Sten Sanjorge; Everyday News; 2009/06/23; Kronos; CEO; Jr; government of Kronos,2.595271348953247,1125,59,Everyday News
news_article,9,"Kronos; Abila; Everyday News; GASTech; 2014/01/21; ""protectors of Kronos""; Sten Sanjorge Jr; Ingrid Barranco; Ada Campo-Corrente; Orhan Strum; Willem Vasco-Pais; POK; $20 million; Council; Juan Rathburn; Tethys; APA; Asterian; Mediterranean Sea; 1984/05/05; Tethan; American",4.150389909744263,1067,97,Everyday News
news_article,10,"Everyday News; Mediterranean Sea; 1984/05/05; Kronos; GAStech; Sten Sanjorge, Jr; ministry of the energy and the development; Europe; SanJorge; 100 cubical feet trillón",2.154867172241211,1074,52,Everyday News
news_article,11,SanJorge; GAStech; Oskar Wertz; University of Tethys; European; Everyday News; Kronos; 2013/11/13; Shawn Pastorini; Abilia; Kronos; Abila; Protectors of the spokesman of Kronos,2.331141471862793,1112,57,Everyday News
news_article,12,"Kronos; GAStech; Terek Kamal; Abila; Tethys; Dorel Kapelou II; Everyday News; 2014/03/26; January 17, 1995; Fluss Hank; Elodis; The Times; years 80",2.6210474967956543,1117,61,Everyday News
news_article,13,Kronos; Tethian; European; CEOs; A to B; Kronosian,1.258319616317749,1098,19,Everyday News
news_article,14,Kronos; Tethys; CEOs; Everyday News; 2012/02/22; The industry of the oil and the gas of Kronos; civil employees of the energy of the government,2.0976388454437256,1104,41,Everyday News
news_article,15,"2012/02/22; energy of the government; 15 wells; last year; investment; registry; exploration; 26 wells; six years ago; oil; gas; countries oil and gas fields; fields of Kronos; energy minister Julio Jecovic; annual survey; Oil and the gas Kronos; production costs; 15%; oil barrel; 27%; a year; K17; K30; 12 last months; GAStech; Norway; North America; tax; Property of Kronos; K3.5bn; budgetary exercise 2011-12; K2bn; present year; barrels; 8%; .83m of oil per day; gas; 2012; Everyday News; Hospitals of Abila; designer drug users; 2013/02/09; department of the emergency; general hospital of Abila; Kronos; month last; medical complications; designer drugs; ""caramel of cotton""; synthetic marijuana; civil employee of the hospital; two cases dozen; last month; Alicia Bianca; nurse of the department.",9.676897048950195,1128,222,Everyday News
