doc_key,processed_entities,output_tokens,entities_not_from_list
0,"One World Research Institute for Social Development | located in the administrative territorial entity | Kronos
SW1138 | country | Kronos
River | located in the administrative territorial entity | Protectors of Kronos
Elodis | located in the administrative territorial entity | Kronos
Carmine Osvaldo | affiliated with | Kronos government
City Council | country | Kronos
Osvaldo | country | Protectors of Kronos
Protectors of Kronos SMO | inception | 1997
Alliance Stage | inception | July 1999
GAStech | inception | March 2001
Hyper Acidic Substrate Removal | manufacturer | POK
Tiskele River | located in the administrative territorial entity | Abila
25 km | located in the administrative territorial entity | Protectors of Kronos
POK | contains | Protectors of Kronos
Protectors of Kronos | contains character | Petrus Gerhard
Kronos | contains administrative territorial entity | Abila
Tiskele River | country | Protectors of Kronos
Kronos military | country | Abila
Bodrogi | colleague | Valentine Mies
Abila | located in the administrative territorial entity | Protectors of Kronos
GAStech | country | Protectors of Kronos
City Council | located in the administrative territorial entity | Elodis
POK | member | Jeroen Karel
University of Abila | student | Kyrla Halford
barium | manufacturer | POK
Tiskele River | located near | Elodis
Hank Fluss | country | Kronos government
Government of Kronos Assembly | contains administrative territorial entity | Elodis
Elodis Community Health Center | country | Abila
Valentine Mies | country | Protectors of Kronos
Kronos military | part of | Kronos government
University of Abila | located in the administrative territorial entity | Kronos
Henk Bodrogi | employee | Kronos
Minister Nespola | country | Government of Kronos Assembly
xylene arsenic | manufacturer | POK
chromium | manufacturer | POK
Bodrogi | contains administrative territorial entity | Tiskele River
Protectors of Kronos | contains location | Elodis
Jeroen Karel | participant | Valentine Mies
Jeroen Karel | country | Protectors of Kronos
WFA | manufacturer | POK
POK | product | toluene
POK | product | selenium
Kyrla.halford@uabila.ac.kronos | country | Kronos
Elodis | located in the administrative territorial entity | Protectors of Kronos
Protectors of Kronos | part of | Alliance Stage
POK | located in the administrative territorial entity | GAStech fields
Tiskele River | method of farming | floodplain farming
POK | location | Alliance Stage
Kronos government | contains administrative territorial entity | Elodis
Elodisan | manufacturer | POK
Kyrla.halford@uabila.ac.kronos | located in the administrative territorial entity | Kronos
lead | manufacturer | POK
Protectors of Kronos | method of farming | floodplain farming
Kronos | contains administrative territorial entity | Tiskele River
POK | location | Kronos
Kronos | has employee | Henk Bodrogi
POK | product | Elodis
Center for Change Now | country | Kronos
Bodrogi | colleague | Fluss
Elian Karel | author | Paper SW1138
Valentine Mies | located in the administrative territorial entity | Protectors of Kronos
One World Research Institute for Social Development | country | Kronos
Grassroots Effort | participant | Council
POK | contains | Jeroen Karel
Elodisians | member of | POK
Ale L. Hanne | participant | Jeroen Karel
Cesare Nespola | member of | Protectors of Kronos
Abila | country | Protectors of Kronos
Kyrla Halford | located in the administrative territorial entity | Kronos
Kronos | manufacturer | POK
Minister of Interior | located in the administrative territorial entity | Abila
Elian Karel | nationality | Elodisians
Protectors of Kronos | location | Kronos
GAStech | located in the administrative territorial entity | Protectors of Kronos
Elodis | participant | SMO
GAStech fields | located in the administrative territorial entity | Elodis
POK | member | Elian Karel
Joreto Katell | inception | 1997
POK | member | Protectors of Kronos
Center for Change Now | located in the administrative territorial entity | Kronos
Henk Bodrogi | affiliation | POK
POK | colleague | Fluss
POK | colleague | Valentine Mies
GAStech | employer | Hank Fluss
POK | product | barium
Minister of Health | employer | GAStech
Jeroen | nationality | Elodisians
Carmine Osvaldo | country | Abila
Henk Bodrogi | inception | 1997
Kronos government | located in the administrative territorial entity | Abila
The Application and Validation of a Social Movement Model in Understanding the Evolution and State of One Grassroots Social Movement in Kronos: Protectors of Kronos | author | Kyrla Halford
POK | member | Henk Bodrogi
Joreto Katell | participant | Kronos
POK | inception | 1998",17832,0
1,"HASR | related to | Kronosian
POK | time period | 2005-2008
Kronos | member of | Save Our Wildlands
POK | colleague | Bodrogi
Elodis | resident of | Abila
Save Our Wildlands | member | Elian Karel
Tiskele Bend | country | GAStech
Cesare Nespola | position held | Minister of Health
social movement | participant | POK
Kronosian embassies | located in the administrative territorial entity | POK
Hank Fluss | colleague | Elian Karel
Elodis | contains | ethylene glycol
GAStech | located in the administrative territorial entity | Abila
POK | country | Three Possible Futures
mainstream political forces | mentioned in | Three Possible Futures
University of Abila | inception | 2005
Elian Karel | affiliated with | POK
Kronos military | inception | 2004
Asteria | country | POK
2005 | part of | 2005-2008
GAStech | located in the administrative territorial entity | Tiskele River
POK | inception | 2005
Three Possible Futures | publication date | 2009
Kronos military | located in the administrative territorial entity | POK
Tiskele Bend gas fields | located in the administrative territorial entity | Tiskele River
Bodrogi | colleague | Osvaldo
Henk Bodrogi | country | Nespola
POK | member of | Save Our Wildlands
Cesare Nespola | located in the administrative territorial entity | Abila
Karel | participant in | Activism and Protest
The central agency of opposition | mentioned in | Three Possible Futures
Elian Karel | located in the administrative territorial entity | Abila
the capitol city | contains administrative territorial entity | Abila
Three Possible Futures | subject | Social movements
Protectors of Kronos | country | Kronos
Di Stefano | related to | HASR
Elian Karel | end time | August 2001
Mandor Vann | relative | Juliana Vann
University of Abila | located in the administrative territorial entity | Abila
Osvaldo | employer | POK
Karel | country | Abila
Tiskele River | country | Kronos
University of Abila | established | 1998
Nespola | contains administrative territorial entity | Elian Karel
Nespola | contains administrative territorial entity | Tiskele Bend
Save Our Wildlands | country | Abila
Bodrogi | colleague | POK
WFA | located in the administrative territorial entity | Tiskele Bend
ethylene glycol | location of discovery | Elodis
GAStech | dissolution date | March 2001
Elian Karel | participant in | social movement
Hyper Acidic Substrate Removal | related to | HASR
Silvia Marek | member of | Save Our Wildlands
Elodis Chamber of Commerce | affiliated with | Kronosian government
Kronos | country | Abila
POK | inception | 2009
Juliana Vann | relative | Isia Vann
Elodis City Council | country | Elodis
Silvia Marek | part of | Dominant POK Personalities
Carmine Osvaldo | affiliated with | Elodis Chamber of Commerce
Fluss | located in the administrative territorial entity | Abila
University of Abila | notable alumni | Elian Karel
Osvaldo | colleague | POK
Tethys | inception | 2004
Bodrogi | country | Abila
Di Stefano | related to | Kronosian
Tiskele Bend gas fields | located in the administrative territorial entity | Kronos
Fredrick N. Wagner | member of | Protectors of Kronos
Elian Karel | start time | March 2001
Henk Bodrogi | citizenship | Elodis
Save Our Wildlands | member | General Assembly
WFA | employer | Elian Karel
Elodis | country | POK
Elian Karel | profession | environmental science
Save Our Wildlands | established | 2005
Di Stefano | related to | Hyper Acidic Substrate Removal
Bodrogi | employer | WFA
General Assembly | country | Nespola
GAStech | located in the administrative territorial entity | Tiskele Bend
Sten Sanjorge, Jr. | located in the administrative territorial entity | Abila
Tiskele Bend gas fields | production statistics | 200-300
Osvaldo | colleague | Bodrogi
Silvia Marek | located in the administrative territorial entity | Abila
Karel | located in the administrative territorial entity | Tiskele River
Tiskele River | located in the administrative territorial entity | Tiskele Bend
ethylene glycol | discovered by | Henk Bodrogi
Tiskele Bend | contains | Tiskele River
General Assembly | located in the administrative territorial entity | Abila
Save Our Wildlands | member | Lorenzo Di Stefano
Osvaldo | country | Abila
ethylene glycol | country | Elodis
Abila | located in the administrative territorial entity | Kronos
Fluss | country | Abila
Abila | country | Kronos
Elian Karel | education | University of Abila
Kronos | owned by | Elodis City Council
Kronosian military | affiliated with | Kronosian government
POK | inception | January 2009
Elian Karel | resident of | Abila
General Assembly | country | Abila
Protectors of Kronos | affiliated with | Kronosian government
Elodis | country | Kronos
General Assembly | end time | August 2001
Tiskele River | end time | August 2001
Wellness for All (WFA) | affiliated with | Kronosian government
Kronosian embassies | inception | 2004
Tiskele River | start time | March 2001
Tiskele River | country | GAStech
Elian Karel | colleague | Hank Fluss
Kronos | located in the administrative territorial entity | Elodis
Tiskele River | located in the administrative territorial entity | Kronos
GAStech | employer | Osvaldo
Nespola | contains administrative territorial entity | President Kapelou
Vincent Kapelou | position held | President Kapelou
social movement | country | Kronosian government
Mandor Vann | affiliated with | POK
Elian Karel | country | Abila
Elian Karel | student of | University of Abila
University of Abila | country | Abila
POK | located in the administrative territorial entity | Abila
Mandor Vann | relative | Isia Vann
Henk Bodrogi | start time | March 2001
Wellness for All (WFA) | country | Kronos
POK | country | Abila
General Assembly | start time | March 2001
Mandor Vann | part of | Dominant POK Personalities
Tiskele Bend fields | owned by | GAStech
Protectors of Kronos | also known as | POK
POK | lifestyle | agrarian lifestyle
Kronosian military | located in the administrative territorial entity | Kronos
Vincent Kapelou | start time | March 2001
Karel | notable work | Three Possible Futures
Sten Sanjorge, Jr. | employer | GAStech
Tiskele River | time period | 2005
POK | start time | March 2001
Elian Karel | member of | Save Our Wildlands
Tiskele Bend | start time | March 2001
Tiskele River | inception | 1998
Hyper Acidic Substrate Removal | performed by | WFA
Save Our Wildlands | member | Lucio Jakab
POK | participant in | social movement
Elodis | participant in | A Time of Peaceful Engagement and Recruitment
Elodis City Council | owns | Kronos
Tethys | located in the administrative territorial entity | POK
Isia Vann | relative | Mandor Vann
Tiskele River | contains administrative territorial entity | Tiskele Bend gas fields
Tiskele Bend | country | Nespola
Protectors of Kronos | period of activity | 1997-2001
Elodis | located in the administrative territorial entity | POK
the capitol city | point in time | 2002-2004
POK | participant in | A Time of Peaceful Engagement and Recruitment
Isia | affiliated with | POK
President Kapelou | country | Nespola
Minister of Health | appointed by | Cesare Nespola
POK | country | Nespola
Lorenzo Di Stefano | profession | environmental science
Kronos | contains administrative territorial entity | Elodis
Bodrogi | located in the administrative territorial entity | Abila
Kronos | lifestyle | agrarian lifestyle
Wellness for All (WFA) | located in the administrative territorial entity | Kronos
new wave activists | mentioned in | Three Possible Futures
Lorenzo Di Stefano | education | University of Abila
Lorenzo Di Stefano | lifestyle | agrarian lifestyle
Sten Sanjorge, Jr. | country | Abila
POK | resident of | Abila
POK | participant in | Activism and Protest
Juliana Vann | affiliated with | POK
Abila | point in time | 2002-2004
Elian Karel | sibling | Jeroen Karel
Elian Karel | start time | 2001
Karel | located in the administrative territorial entity | Abila
POK | inception | 2001
Jeroen Karel | colleague | Hank Fluss
Vincent Kapelou | country | Nespola
Three Possible Futures | author | Karel
Tiskele River | participant in | Activism and Protest
GAStech | inception | July 1999
Elian Karel | part of | Dominant POK Personalities
Tiskele Bend fields | country | Abila
Tiskele River | country | Nespola
Three Possible Futures | subject | The central agency of opposition
Elian Karel | member of | POK
Isia Vann | relative | Juliana Vann
Juliana Vann | relative | Mandor Vann
Lucio Jakab | education | University of Abila
Henk Bodrogi | end time | August 2001
Elian Karel | lifestyle | agrarian lifestyle
Three Possible Futures | subject | new wave activists
WFA | employer | Jeroen Karel
Elian Karel | participant in | A Time of Peaceful Engagement and Recruitment
Abila | located in the administrative territorial entity | the capitol city
Bodrogi | resident of | Abila
Nespola | contains administrative territorial entity | Vincent Kapelou
Henk Bodrogi | employer | Elodis City Council
Kronos | country | Elodis
Vincent Kapelou | end time | August 2001
POK | end time | August 2001
GAStech | country | Abila
President Kapelou | start time | March 2001
POK | colleague | Osvaldo
Kronosian government | contains administrative territorial entity | POK
Kronos | inception | 1998
Henk | participant in | A Time of Peaceful Engagement and Recruitment
Tiskele Bend | country | WFA
Kronosian government | contains administrative territorial entity | social movement
GAStech | employer | POK
Tiskele Bend | inception | 1998
Henk Bodrogi | residence | Elodis
Protectors of Kronos | inception | January 2009
A Time of Peaceful Engagement and Recruitment | point in time | 2002-2004
Juliana Vann | part of | Dominant POK Personalities
POK | also known as | Protectors of Kronos
Osvaldo | located in the administrative territorial entity | Abila
Elodis | inception | 2004
Lucio Jakab | profession | environmental science
Elodis | located in the administrative territorial entity | Kronos
POK | located in the administrative territorial entity | Tiskele River
Elodis | contains | Henk Bodrogi
Elian Karel | member of | Protectors of Kronos
Tiskele Bend | located in the administrative territorial entity | Tiskele River
Lucio Jakab | member of | Save Our Wildlands
Nespola | contains administrative territorial entity | General Assembly
Activism and Protest | time period | 2005-2008
Kronos | located in the administrative territorial entity | Abila
Kronosian embassies | country | POK
Minister of Health | located in the administrative territorial entity | Abila
Tethys | country | POK
Elodis | contains administrative territorial entity | Elodis City Council
GAStech | employer | Bodrogi
Hyper Acidic Substrate Removal | performed by | GAStech
WFA | employer | Hank Fluss
Hank Fluss | colleague | Jeroen Karel
WFA | located in the administrative territorial entity | Abila
Three Possible Futures | subject | mainstream political forces
Asteria | located in the administrative territorial entity | POK
Henk | resident of | Abila
Elodis | inception | 1997
Lorenzo Di Stefano | member of | Save Our Wildlands
University of Abila | notable alumni | Lucio Jakab
Lucio Jakab | lifestyle | agrarian lifestyle
Protectors of Kronos | located in the administrative territorial entity | Kronos
Save Our Wildlands | located in the administrative territorial entity | Abila
POK | country | Kronos military
Tiskele River | country | WFA
Henk Bodrogi | country | Elodis
Elodis City Council | located in the administrative territorial entity | Elodis
Tiskele Bend | country | POK
Bodrogi | participant in | A Time of Peaceful Engagement and Recruitment
Bodrogi | affiliated with | Kronosian military
POK | member of | General Assembly
Carmine Osvaldo | country | Kronos
Kronosian government | located in the administrative territorial entity | Kronos
Isia | part of | Dominant POK Personalities
Tiskele Bend | end time | August 2001
Karel | time period | 2005-2008
social movement | participant | Elian Karel
Elodis Chamber of Commerce | country | Kronos
Kronos | contains administrative territorial entity | Abila
Cesare Nespola | country | Abila
POK | citizenship | Kronosian government
Silvia Marek | country | Abila
Westley B. Andrews | member of | Protectors of Kronos
WFA | country | Abila
University of Abila | notable alumni | Lorenzo Di Stefano
Tiskele Bend gas fields | country | Kronos
Nespola | contains administrative territorial entity | POK
Tiskele Bend fields | located in the administrative territorial entity | Abila
WFA | located in the administrative territorial entity | Tiskele River
Minister of Health | country | Abila
Tiskele Bend gas fields | owner | Protectors of Kronos
Save Our Wildlands | inception | 1998
Elodis | contains | Kronos
President Kapelou | end time | August 2001
Social movements | mentioned in | Three Possible Futures
Elian Karel | citizenship | Kronosian government
Silvia Marek | affiliated with | POK
Bodrogi | country | Kronos
Hyper Acidic Substrate Removal | related to | Kronosian
Jeroen Karel | sibling | Elian Karel
Elodis Chamber of Commerce | located in the administrative territorial entity | Kronos
Nespola | contains administrative territorial entity | Tiskele River
Asteria | inception | 2004
Tiskele River | country | POK
Nespola | contains administrative territorial entity | Henk Bodrogi
Karel | member of | Save Our Wildlands
Elian Karel | country | Nespola
Kronosian government | contains administrative territorial entity | Elian Karel",3668,0
2,"Kronos | contains administrative territorial entity | Kronos federal police
ELODIS | located in the administrative territorial entity | Kronos
This is Our Land | part of | Songs of the Farmer
Kronos | contains administrative territorial entity | Tiskele Bend GAStech
Songs of the Farmer | performer | The Weavers of our Homeland
Tiskele Bend GAStech | located in the administrative territorial entity | Kronos
Kronos federal police | located in the administrative territorial entity | Kronos
The Weavers of our Homeland | notable work | Songs of the Farmer
All News Today | publication date | 2005/04/06
Kronos | contains administrative territorial entity | ELODIS
Kronos | contains administrative territorial entity | Protectors of Kronos
Songs of the Farmer | has part | This is Our Land
Kronos | contains administrative territorial entity | POK
POK | part of | Protectors of Kronos
Protectors of Kronos | located in the administrative territorial entity | Kronos",216,0
3,"Silvia Marek | location | Kronos
Silvia Marek | affiliation | Kronos
All News Today | publication date | 2012/04/09
Silvia Marek | location | ABILA
ABILA | located in the administrative territorial entity | Kronos
Protectors of Kronos | location | Kronos
Protectors of Kronos | affiliation | Kronos
All News Today | location | Kronos
Silvia Marek | affiliation | Protectors of Kronos
All News Today | location | ABILA",110,0
4,"Minister of the Interior Tomas Sarto | inception | 1993/02/02
President Luis Araullo | country | All News Today
Kronos | located in the administrative territorial entity | All News Today
ABILA | country | All News Today
Kronos | country | All News Today
ABILA | inception | 1993/02/02
President Luis Araullo | inception | 1993/02/02
Minister of the Interior Tomas Sarto | country | All News Today
Minister of the Interior Tomas Sarto | located in the administrative territorial entity | All News Today
Kronos | inception | 1993/02/02
President Luis Araullo | located in the administrative territorial entity | All News Today
President Luis Araullo | position held | President
ABILA | located in the administrative territorial entity | All News Today",197,2
5,"'94 | part of | GAStech
Hank Fluss | part of | GAStech International
Petrus Gerhard | inception | 1998/03/20
KRONOS | located in the administrative territorial entity | Elodis
GAStech | founder | Sten Sanjorge Sr
Sten Sanjorge Jr | part of | GAStech
Pondo Reese | located in the administrative territorial entity | Elodis
Sten Sanjorge Sr | part of | GAStech International
Elodis Weekly Journal | country | Elodis
Petrus Gerhard | country | Elodis
Tiskele Bend | located in the administrative territorial entity | Elodis
Pondo Reese | country | Elodis
Sten Sanjorge Jr | employer | GAStech
GAStech | part of | GAStech International
Sten Sanjorge Sr | child | Sten Sanjorge Jr
KRONOS | inception | 1998/03/20
Hank Fluss | part of | GAStech
Sten Sanjorge Sr | part of | GAStech
People of Kronos | inception | 1998/03/20
Tiskele River | country | Elodis
GAStech | contains administrative territorial entity | '94
GAStech | number of employees | 6500
KRONOS | country | Elodis
Reese | colleague | Henk Bodrogi
Tethys | contains administrative territorial entity | Elodis
GAStech International | contains administrative territorial entity | GAStech
People of Kronos | country | Elodis
GAStech International | founder | Sten Sanjorge Sr
Tiskele River | inception | 1998/03/20
ELODIS | country | Elodis
GAStech | inception | 1961
Sten Sanjorge Sr | employer | GAStech
Sten Sanjorge Jr | part of | GAStech International
'94 | part of | GAStech International
GAStech | employer | Henk Bodrogi
Elodis | colleague | Henk Bodrogi
Sten Sanjorge Sr | inception | 1961
Sanjorge Sr | part of | GAStech
Elodis | employer | Reese
GAStech International | number of employees | 6500
All News Today | located in the administrative territorial entity | Elodis
Tiskele Bend | country | Elodis
Osvaldo hardware store | customer | Henk Bodrogi
Tiskele River | located in the administrative territorial entity | Elodis
Pondo Reese | inception | 1998/03/20
Homeland Illumination | located in the administrative territorial entity | Elodis
Homeland Illumination | inception | 1998/03/20
Reese | employee | GAStech
Tiskele Bend | inception | 1998/03/20
Sanjorge Sr | employer | GAStech
All News Today | country | Elodis
Sten Sanjorge Jr | parent | Sten Sanjorge Sr
Henk Bodrogi | customer | Osvaldo hardware store
Elodis Weekly Journal | located in the administrative territorial entity | Elodis
Elodis Weekly Journal | inception | 1998/03/20
People of Kronos | located in the administrative territorial entity | Elodis
Hank Fluss | employer | GAStech
Sanjorge Sr | part of | GAStech International
Elodis | part of | Tethys
All News Today | inception | 1998/03/20
Homeland Illumination | country | Elodis",892,0
6,"Henk Bodrogi | contributor | ELODIS
Elodis Weekly Journal | contributor | Henk Bodrogi
Henk Bodrogi | contributor | All News Today
Elodis Weekly Journal | subject | health
Henk Bodrogi | contributor | Kronos
Kronos | subject | interior
Elodis Weekly Journal | subject | justice
ELODIS | publication date | 1998/05/15
ELODIS | subject | interior
KRONOS | subject | interior
Elodis Weekly Journal | subject | interior
All News Today | subject | health
Henk Bodrogi | publication date | 1998/05/15
ELODIS | subject | justice
All News Today | publication date | 1998/05/15
All News Today | subject | interior
Reese | subject | foreign affairs
Reese | publication date | 1998/05/15
Kronos | contributor | Henk Bodrogi
Pondo Resses | subject | foreign affairs
All News Today | contributor | Henk Bodrogi
All News Today | subject | foreign affairs
Kronos | subject | foreign affairs
Henk Bodrogi | contributor | Pondo Resses
Pondo Resses | subject | justice
Kronos | subject | health
Henk Bodrogi | contributor | Reese
KRONOS | subject | health
Reese | employer | Ministry of Health
Wellness For All | participant | Reese
Reese | participant in | Wellness For All
