index,processed_entities,output_tokens
25,Bangladesh; London; Sheikh Hasina; Khaleda Zia; Toufique Imrose Khalidi; Dhaka; December 2017; UK; Digital Bangladesh; bdnews24.com; Government; Tokyo; Paris; BBC,71
26,"June 8, 1959; Los Angeles Lakers; Spurs; University of California; Haines High School; 1982 to 1985; 980 points; 70 games; Kansas City Kings; 278 games; Philadelphia 76ers; NBA; 198384 season; 8 NBA seasons; 5.5 ppg; March 2010; Alaska; boys ' basketball team; Orlando Magic; American; assistant coach; 1982 NBA draft; San Antonio Spurs; Mark McNamara; 1986 to 1991",134
27,Google; Google I / O 27-29 June 2012; June 2012; US$ 300; July 2012; David Pogue; Apple TV; Google Play Music; United States; YouTube; Google Play Movies & TV; May 2013; Google Play; Google I / O; HDMI; DLNA; January 2013; Android; Chromecast; The New York Times; Nexus Q,112
28,"Conemaugh Foundation; Rocksburg; American; 17-volume Rocksburg series; McKees Rocks, Pennsylvania; Mario Balzic; Pittsburgh; Serbo-Italian American; K.C. Constantine; eleventh book; Western Pennsylvania; Cranks and Shadows; 1990s",74
29,China; Church; TSPM; Premier of China; self-government; Protestants; The Christian Manifesto; Zhou Enlai; Communist Party of China; People's Daily; People's Republic of China; Chinese Christians; Y. T. Wu; The Three-Self Manifesto; self-propagation; self-support; Three-Self Patriotic Movement; Korean War,128
30,ruya; Muslim; Surahs; Yaqb; Qurn; Nabi; Old Testament; 16th century BCE; Persian; 45-part TV series; Israelites; Middle East; Quran; Yusuf; Christian Bible; Joseph; Jewish; Muslim nations; Christian; Jacob; Ibn Kathir; Persian literature; God; Potiphar; Zulaikha; Tanakh,131
31,Royal Thai Army; Prime Minister of Thailand; coup d'tat; general; National Assembly; House of Representatives; Phraya Manopakorn Nititada; General Prayut Chan-o-cha; Siam; 24 August 2014; cabinet of Thailand; 22 May 2014; Kingdom of Thailand; Prime Minister of Siam; King Prajadhipok; Royal Thai Government; field marshal,126
32,Progress Party; Rogaland County Municipality; Harald Thune; County Governor of Rogaland; 29 upper secondary schools; county roadways; Rogaland county; county council; 47 members; cultural affairs; Stavanger; Conservative Party; Janne Johnsen; Terje Halleland; Rogfast; public transport; dental care; Norway; King and Government of Norway; cultural heritage,108
33,Heian-ky; Taish; Charter Oath; Edo castle; Emperor of Japan; Imperial Household Agency; Shwa Emperors; Kyoto Imperial Palace; Tokyo Imperial Palace; Heian Period; Meiji Restoration; Tokyo,83
34,City of London; United Kingdom; Leeds; Lincolnshire; Johnston Press; James Mitchinson; Hull; The Yorkshire Post; The Scotsman; Sheffield; Harrogate; north Derbyshire; Westminster; England; York; Yorkshire; Yorkshire's National Newspaper; Scarborough,84
35,Presbyterian; South Korea; Kim Won-yong; South Korean; Won-yong; 1950s; Korean; Wonyong Sung; dragon; 1922  1993; 1917  2006; Kang Won-yong; Jung Won-yong; hanja,79
36,aboriginal Americans; Arizona; Spanish; United States,24
37,Economic and Monetary Union; Uppsala University; Riksdag; euro; European Parliament; 11 January 1930; Per Westerberg; 10 March 2010; Sweden; June List; Christian Democrats; Christian democratic; Christian Democrat; Swedish; European Union; Moderate Party,149
38,Atltico Madrid; Bergen; 1 January 1994; 6 June 1946; Lv-Ham; Fyllingsdalen; Norwegian Cup; First Division; Norwegian Premier League; Fyllingen Fotball; FK Fyllingsdalen; Second Division; Third Division; Hordaland; Rosenborg; Fyllingen IL,132
39,"Martin Ulrich; Germany; Berlin Capitals; Red Bull Salzburg; Graz EC; October 2009; Vienna; Austria; DEG Metro Stars; December 16, 1969; Austrian; Deutsche Eishockey Liga; Adler Mannheim; EK Zell am See",106
40,Two Doors Down; Dolly Parton; March 1978; Zella Lehr; U.S.; Joe Thomas; Music Row II; Jill Johnson; 3-CD Australian; Here You Come Again; Legendary Dolly Parton,85
41,Hurt Report; Free State; Toy Run; Gauteng; Cape Town; United Kingdom; Tony Day; Think Bike Campaign; United States; KwaZulu Natal; 1980s; Los Angeles; South Africa; Western Cape,72
42,TF-104; Germany; MDG; 1944  45; Task Force 104; German Kriegsmarine; Rear Admiral Wilkes; Washington; Rhine River Patrol; Bremerhaven; Berlin; United States Navy; General Lucius D. Clay; United States Zone; NAVFORGER; U.S.; July 1948; German; merchant navy; Naval Service Unit; COMNAVFORGER; Intelligence Unit; Prinz Eugen,158
43,UK Singles Chart; Never Gon na Give You Up; Climie Fisher; January 1991; Cry for Help; Naked Eyes; Thomas Anders; US Billboard Hot 100; British; Rick Astley; Free; Soren Sko; US; Canada; Andra Crouch Choir; Rob Fisher; UK; Modern Talking,100
44,"27 September 2000; Avex Trax; Wataru Takeishi; Avex Taiwan; Oricon Singles Chart; Japanese Count Down TV chart; December 2000; Max Matsuura; Japan; Ayumi Hamasaki; 250,000; Oricon DVD Chart; Duty; New Year Countdown; Surreal",91
45,"Peter Ostroushko; John Gorka; Nashville, Tennessee; Jennifer Kimball; Red House; Mary Chapin Carpenter; Prince; Out of the Valley; Minneapolis; Five and Seven; Jonathan Carroll; Lucy Kaplansky; John Jennings; Dean Magraw; Michael Manring; Chanhassen, Minnesota; Robbie Magruder; Paisley Park Studios; August 1996",116
46,"Square Enix Europe; Final Fantasy; List of Enix games; Japanese; Dragon Quest; Square Enix; Taito Corporation; April 2009; September 2005; List of Taito games; April 1, 2003; Kingdom Hearts; Eidos Interactive; List of Square video games",107
47,United Kingdom; Black Cat; 3 June; Tomorrow; 2 June; Kletva; Versus; UK Albums Chart; English; 19 May 2008; Gravity the Seducer; US Billboard 200; Daniel Hunt; Ladytron; Ghosts; Reuben Wu; Velocifero; Shturtzite; Runaway; Nettwerk; iTunes Store; Bulgarian; Kiril Marichkov,116
48,Vasily Shuisky; False Dmitri II; Sigismund III Vasa; Bolotnikov Uprising; Polish; Wladislaus; Zakhary Petrovich Lyapunov; September 1610; Ryazan dvoryane; Russian; Dmitry Pozharsky; Prokopy Lyapunov; Moscow; Smolensk; Kuzma Minin; False Dmitri I; July 1610,129
49,Skåne; Baltic 2; Christian Krieger; Baltic Sea; German; Danish; Germany; offshore wind farms; Rügen; 1600 MW; Sweden; 288 MW; 600 MW; Kriegers Flak; Møn; Denmark,93
50,Spanish; INI; EEC; Seddon Atkinson; International Harvester; European Economic Community; Spain; ENASA; Pegaso; Iveco; Hispano-Suiza; Sava,79
51,"Eastern Orthodox; lex orandi, lex credendi; laos; Roman Catholic; Church; Lutheranism; John 4:23; God; Anglican churches; ergon; Greek; Methodism; Christianity; Evangelicalism; Orthodoxy; Latin; Jesus; New Testament",80
52,red paint; Torbern Bergman; copper; Johan Gottlieb Gahn; vitriol; sulfur; manganese dioxide; Scheele; 8 December 1818; Carl Wilhelm Scheele; manganese; 19 August 1745; Bergman; carbon; Falun; Swedish; Uppsala; Swedish mining,136
53,Old Bohumín; Polish; Moravian-Silesian Region; German; Oder (Odra); Olza; Romani people; Bohumín; Czech Republic; Karvin District; Cieszyn Silesia; New Bohumín; Czech; World War II; Poland,79
54,Province of Rieti; Apennine range; patata di Leonessa; SS; April 1944; St. Giuseppe di Leonessa; province of L'Aquila; Wehrmacht; Italy; Leonessa; World War II; Gonesse; Lazio; Mt. Terminillo; French,94
55,"President of the United States; President William McKinley; Philippine Assembly; Taft Commission; Jones Act of 1916; Philippines; Philippine Senate; President McKinley; United States Congress; January 20, 1899; Philippine Commission; Legislature; Philippine Organic Act; Philippine Legislature",97
56,Fryderyk Chopin Heritage 2010; Pleyel; Polish National Opera; Teatr Wielki; Erard; Warsaw Philharmonic; Ivo Pogorelich; European; Poland; Polish; Jan Lisiecki; Warsaw; Chopin Competition; Marta Argerich; Tobias Koch; Garrick Ohlsson; Fryderyk Chopin Institute; Polish Radio II; Fryderyk Chopin; Graf; Nelson Goerner; Dina Yoffe; Stanisław Leszczyński,180
57,Karachi; Sikh Empire; GDP; Pakistan; Golden Triangle; Lahore; Sukerchakia Misl; Gujrat; Punjab; Gujranwala; 18th century; Sialkot; Maharaja Ranjit Singh; Faisalabad,84
58,China; Vietnam; Guangxi; Hainan; Gulf of Tonkin Economic Belt; Gulf of Tonkin; Guangdong; China-ASEAN; Vietnamese; northern and central Vietnam; Beibu Gulf Rim; Beibu Economic Belt; Go West; Beibu Gulf Economic Rim,78
59,Caracas; Marcel Roche; Venezuelan; Colombian; Beatrice Dugand; 1930s; La Castellana; French; Luis Roche; La Florida; Lilianne Roche; Luis Armando Roche; Beatrice Roche; 1940s; Avenue des Champs-Élysées; Argentina; Altamira (Caracas); Altamira,105
60,Stamna; Sylvester Stallone; Celine Dion; Andreas; Koita ti Ekanes; Gros Plan; Jean Paul Gaultier; English; Star Academy; Alpha TV; Nikos Aliagas; Greece; Harula Aliagas; France; 13 May 1969; Paris; Greek-French; Aetolia-Acarnania; Helena Paparizou,109
61,"HGTV; April 28, 1978; 150 other countries; Cineflix; Canadian; Drew Scott; Corus Entertainment; United States; Jonathan Scott; W Network; 2017/2018; Amazon Video; Property Brothers; January 4, 2011; HGTV Canada; Netflix",89
62,Boris Yeltsin; October 2012; RAO UES; RUSNANO; 1990s; Council on Foreign Relations; PricewaterhouseCoopers; Anatoly Borisovich Chubais; Financial Times; Russian; Soviet Union; 54th; 16 June 1955; September 2008,113
63,HMS Ardent; Naval Canteen Service; British; 1982 Falklands War; British Armed Forces; Distinguished Service Medal; Petty Officer John Leake; Royal Navy; British government; Expeditionary Force Institutes; Territorial Army,83
64,Sport Recife; Alex dos Santos Gonalves; Metropolitano; Washington Santana da Silva; summer 2009; Jefferson Madeira; Elton Martins; Treze; 15 February 1988; Campeonato Brasileiro Série A; FK Partizan Belgrade; FK Teleoptik; Brazilian; Duque de Caxias; January 2009; Brazil; Olaria; 2009  10 Serbian First League; Jefferson Madeira da Silva,140
65,Rome; Trajan; Christianity; Santa Maria del Principio; Roman Republic; 2nd century; Candida the Elder; Saint Peter; basilica of Santa Restituta; Naples; Marble Calendar of Naples; Roman Empire; Christian; Bishop of Naples; Neapolitan Church; Hadrian; 1st-century; Calendario Marmoreo di Napoli; Aspren; San Pietro ad Aram,113
66,Doug Wright; 13 June 1948; Juniper Junction; Greg Clark; World War I; Scugog Island; Battle of Vimy Ridge; 16 October 1891; Toronto; Life's Little Comedies; Ontario; Montreal Standard; Toronto Stars Star Weekly; English-Canadian; Birdseye Center; Birdseye,120
67,Dhyan Sreenivasan; Thira; Sreenivasan; Vineeth Sreenivasan; Kilichundan Mampazham; Aanandam; Oru Vadakkan Selfie; Indian; Kasavinte Thattamittu; 1 October 1985; Jacobinte Swargarajyam; Malayalam cinema; G. Pajith; Malarvaadi Arts Club; Cycle; Habit of Life; Thattathin Marayathu,156
68,Zabiele; Wielbark; Warmian-Masurian Voivodeship; Germany; East Prussia; Poland; Polish; Olsztyn; Poles; Szczytno County; Szczytno; Operation Vistula; Polish areas; Gmina Wielbark; Soviet Union; Ukrainians; World War II; Potsdam Agreement,127
69,Sylvania Wilderness; U.S.; Michigan; Gogebic County; Ottawa National Forest; bass species; Clark Lake; Watersmeet,40
70,O'Shaughnessy Reservoir; Ohio; Jerry O'Shaughnessy; United States; O'Shaughnessy Dam; Scioto River; Dublin; Griggs Dam; Columbus Zoo and Aquarium; Columbus,77
71,"Thierry Zéno; Australian; Dominique Garny; Belgian; mid 1970s; OFLC of Australia; Wedding Trough; Australia; Vase de Noces; April 1, 1977; The Pig Fucking Movie",77
72,December 1718; Treaty of The Hague; Spain; War of the Quadruple Alliance; Habsburgs; Giulio Alberoni; Dutch Republic; Elisabeth Farnese; France; Vienna; Austria; Bourbon King Philip V of Spain; French; Italy; Britain; Holy Roman Empire; Savoy,100
73,Bob Crewe; STS-126; Frankie Valli; Christopher Ferguson; My Eyes Adored You; The Four Seasons; NASA; Billboard Hot 100; Bob Gaudio; Ca n't Take My Eyes Off You; The Association,70
74,Angleton High School; Angleton Intermediate School; Lochridge; Rosharon; Angleton; Texas Education Agency; south central Brazoria County; baseball field; varsity football stadium; UIL; 1 Campus Dr.; Met Standard; Angleton ISD; Chocolate Bayou; Sandy Point; Brazoria County; Village of Bonney; United States; Texas; Central Elementary; 5A; Otey,121
75,U.S.; Charter Oak State College; University of Connecticut; Connecticut; Yale University,44
76,September 2015; Vienna International Airport; Prater junction; Ost Autobahn A4; Schwechat; Hungarian; Budapest; Simmering; 66 km; Hungary; Austrian army; Nickelsdorf; Hegyeshalom; Fischamend; Vienna; Münchhof; A23; Austria; Weiden am See; Bruck an der Leitha; European route E60; Austrian; Parndorf; Hungarian M1 motorway,133
77,English; British; The Wooden Horse; Anthony Maitland Steel; 1950s; 21 May 1920; Anita Ekberg; 21 March 2001; Golden Age of Empire,49
78,Central Africa; African studies; Cameroon; Dieudonn Gnammankou; Hugh Barnes; Gannibal; Abram Petrovich Gannibal; Russian; Soviet Union; African Diaspora; Benin; Alexander Pushkin; Beninese; Lake Chad; Moscow; Patrice Lumumba University; Logone-Birni,103
79,"KylieX2008; United Kingdom; Guy Chambers; Germany; On a Night Like This Tour; Robbie Williams; Kylie Minogue; Kiss Me Once Tour; Steve Power; Your Disco Needs You; Switzerland; Kylie Summer 2015 Tour; Australia; For You, For Me Tour; Light Years",82
80,Juba; 9 July 2011; July 2012; Sudd; Ramciel; Bahr al Jabal; Sudan; South Sudan; Eastern Africa; White Nile; Geneva Conventions; United Nations; Southern Sudan; African Union,78
81,Tom Solomon; University of Liverpool; NeuroID; Alder Hey Children s NHS Trust; UK; Liverpool Medical Institution; May; meningitis; encephalitis; UK Royal College of Physicians; Liverpool,102
82,"Atari 5200; Steve Bristow; Pong; Apple II; Atari, Inc.; four years later; Breakout; Steve Wozniak; Nolan Bushnell; Atari 2600; Arkanoid; Super Breakout; May 13, 1976; Steve Jobs; Atari; Taito",100
83,John Quincy Adams; Red Bird; Fort Winnebago; Ho-Chunk; Winnebago; Winnebago Uprising; Winnebago War; Wisconsin; United States; Indian removal; Ho-Chunk tribe; Black Hawk War of 1832; American; lead mining region; Upper Mississippi River; Native American; U.S. officials,100
84,Félix Guattari; Anti-Oedipus; Chaosmosis; Greek; A Thousand Plateaus; Gilles Deleuze; Schizoanalysis,46
85,abortion; social security law; University of Ghent; European; Vlaams Belang; international studies; Islamic fundamentalists; gay marriage; University of Buckingham; PhD; euthanasia; Belgium; Belgian Federal Parliament; A Throne in Brussels; Paul Belin; Flemish Belgian; The Brussels Journal; Americophile; free trade; Alexandra Colen; Europe; Flemish independence; Hudson Institute; European Union,128
86,"Chestertown; Warren County Court; March 4, 1849; Thirty-first Congress; Director; Whig; New York City; Delaware and Hudson Railroad; Troy, New York; July 24, 1854; Friends Lake; Oakwood Cemetery; Columbia University; U.S. Representative; New York; October 6, 1814; March 3, 1851; Warren County; John Richardson Thurman",133
87,Ana Patricia Rojo; Los Ricos Tambin Lloran; Irn Eory; Manuel Saval; Mexican; Ludwika Paleta; Itat Cantoral; Mara la del Barrio; Thala; Sebastin Ligarde; Ren Muoz; Fernando Colunga; Mauricio Aspe; Triloga de las Maras; Angelli Nesma Medina; Ricardo Blume; Ariel Lpez Padilla; Carmen Salinas; Meche Barba; Televisa; Osvaldo Benavides; Aurora Molina; Yuliana Peniche,158
88,"World Chess Champion; Armenia; World Championship; Soviet Armenian; Grandmaster; Mikhail Botvinnik; August 13, 1984; Soviet Championship; Iron Tigran; Tigran Vartanovich Petrosian; June 17, 1929; Boris Spassky",133
89,This Little Girl of Mine; Ray Charles; This Little Light of Mine; This Little Girl; I Got a Woman; Hallelujah I Love Her So; Atlantic; Gary U.S. Bonds; The Everly Brothers; A Fool for You,73
90,"2nd place; Cantando por un sueño; Jorge Vargas; El alma no tiene color; Reyes de la cancion; June 3, 1977; 3rd place; Contra viento y marea; Mexico City; Ernesto D'Alessio; Mexico; Mateo; Lupita D'Alessio; Jorge Francisco",124
91,Angola's 2016 Olympic team; Olympic; men's trap; Luanda; 2016 Summer Olympics; 2000 Summer Olympics; Angola; Atlanta 1996; Rio de Janeiro; 13 November 1964; Tripartite Commission; Paulo Morais; Angolan; Joo Paulo de Leiria e Silva,94
92,Mount Blackburn; Root Glacier; Regal Mountain; Regal Glacier; Kennicott Glacier; United States; Wrangell Mountains; Alaska; Nabesna Glacier; Rohn Glacier; Nizina Glacier; McCarthy; Atna Peaks; Nabesna,82
93,"The Greatest Gift; RBD; Latin American; Il Regalo Pi Grande; Anah; La Oreja de Van Gogh; Amaia Montero; Alla Mia Et; January 9, 2009; El Regalo Ms Grande; A Mi Edad; Tiziano Ferro; Italian; Spain; Mexican; Dulce Mara",91
94,China; APT; Dr. Mahathir bin Mohamad; ASEAN; ASEAN+3; APEC; East Asia Economic Group; EAEC; Malaysian; Malaysia; North America; East Asia Economic Caucus; Western nations; East Asia; EAEG; Republic of Korea; India; New Zealand; ASEAN Plus Three; East Asia Summit; Japan; Australia,122
95,John Musker; The Frog Princess; Walt Disney Pictures; Mark Henn; African-American; Naveen; Elizabeth M. Dampier; Brothers Grimm; E. D. Baker; The Princess and the Frog; Anika Noni Rose; Princess Emma; Tiana; Ron Clements; The Frog Prince,88
96,American; Mexico; United States; North America; Pooecetes; vesper sparrow; song sparrow; Pooecetes gramineus,40
97,High Elves; Lothlrien; Sindar; Laiquendi; House of Finarfin; Eldar; J.R.R. Tolkien; Great Journey; Wood-elves; Grey Elves; Noldor; Mirkwood; Thranduil; Nandor; Lorien; Amroth; Middle-earth; First Age; Elves; Celeborn; Galadriel; Lrien; Avari; Telerin; Vanyar; Silvan; Legolas; Amdr; Elves of Ossiriand,153
98,ABBA; LP; November 1979; I 'm a Marionette; Hole in Your Soul; Polydor / Polar; Does Your Mother Know; April 1981; ABBA Live; March 1977; CD; Get on the Carousel; London; Polar Music; Wembley Arena; Sweden; I 'm Still Alive; Thank You for the Music; I Am an A; The Girl with the Golden Hair; I Wonder (Departure); Australia; Swedish; Dick Cavett Meets ABBA,155
99,Cute Is What We Aim For; Maurice Sendak; Hollywood; October 18; Fall Out Boy; Rob Dobi; Where the Wild Things Are; Young Wild Things Tour; Plain White T's; Gym Class Heroes; November 9; December 2; Canada; Pete Wentz; America; Doug; 1.5 million; $ 30 million,101
100,Director of Publicity; Samuel C. Brightman; Poland; Washington; 1950s; Deputy Director of Publicity; Bronze Star; D-Day; The Democrat; U.S.; Democratic National Committee; World War II; Public Relations Officer; Europe; American; Omaha Beach; The Democratic Digest; 1960s; Hitler,126
101,"Cosme San Martín; Santiago; France; July 23, 1925; Alberto Valenzuela Llanos; Chile; Pedro Lira; Onofre Jarpa; San Fernando; August 29, 1869; Alfredo Valenzuela Puelma; Paris; Juan Francisco González; Juan Mochi",103
102,December 2015; List A; Premadasa Stadium; Madhya Pradesh; first-class; 29 January 2017; Andhra Pradesh; 5 August 1997; Indian; 201617 Ranji Trophy; 25 February 2017; Chhattisgarh; Amandeep Narayan Khare; Chhattisgarh cricket team; Twenty20; 201617 Vijay Hazare Trophy; Durg; 6 October 2016,141
103,Beautiful; American; South Korea; Chris Braide; Sia Furler; Bionic; People's Voice Award; 39th People's Choice Awards; Blank Page; Burlesque; Christina Aguilera; Lotus (2012),73
104,"All-Pro; American; National Football League; Idaho State University; NFL; Minnesota Vikings; Super Bowl; Jared Scot Allen; April 3, 1982; 2004 NFL Draft; Carolina Panthers; Kansas City Chiefs; 12-year; Pro Bowl; Chicago Bears",80
105,BPI; Mad World; 7 March 1983; The Hurting; Tears for Fears; Suffer the Children; Pale Shelter; 21 October 2013; January 1985; double-CD; British; 30th Anniversary; Gold; UK; Platinum; Change; UK Albums Chart,99
106,U.S.; Klamath Lake; Klamath Falls; Klamath River; Link River; Link River Dam; Klamaths; Oregon; Yulalona; Pacific Ocean; 1892  93; Upper Klamath Lake; Klamath Basin; Lake Ewauna; Linkville,83
107,Nawaz Sharif; Ali Kuli Khan Khattak; X Corps; Benazir Bhutto; Kargil War; Pakistani; Urdu; General Pervez Musharraf; chief of army staff; Military Intelligence (DGMI),71
108,"World Chess Champion; The Pride and Sorrow of Chess; July 10, 1884; First American Chess Congress; Bobby Fischer; New York City; June 22, 1837; United States; Alexander Meek; Paul Charles Morphy; Johann Löwenthal; New Orleans; American; Europe; Louis Paulsen; Howard Staunton",113
109,Let It Loose; Cuban-American; Miami Sound Machine; Spain; Diamond certification; Selena Quintanilla; Conga; 1 million; mid-1970s; Latin; Eyes of Innocence; Spanish; United States; USA; Anything For You; Primitive Love; Cuts Both Ways; Mi Tierra; Europe; Gloria Estefan,112
110,Aichi; Tkai; Chky Metropolitan Area; Shizuoka; Nagoya Metropolitan Area; Tkaid; Mie prefectures; Chky region; Kansai region; Mikawa earthquake; Pacific Ocean; 8.0; Chbu region; Edo Five Routes; Gifu; Japan; Nagoya; Tonankai earthquake; Area of Specific Observation; Kiyoo Mogi,138
111,"Meramec State Park; Creve Coeur Park; St. Louis County; Babler State Park; Sullivan, Missouri; Missouri; St. Louis; Gateway Arch; Greensfelder County Park; Gateway Arch National Park; Greater St. Louis; Castlewood State Park; Forest Park",75
112,John Chaloner Smith; Dublin; The Custom House; Ireland; River Liffey; An Bord Pleanála; Liffey Viaduct; 100 years; Dún Laoghaire; Queenstown; Connolly Station; Cobh; Iarnród Éireann; Loopline Bridge; Dublin City Council; Kingstown,115
