doc_key,processed_entities,output_tokens
10,ABILA; 1998/11/15; All News Today; 1990s; 1997; Protectors of Kronos; Elodis; Cesare Nespola; Kronos; POK; Minister of Health,49
11,"Elian Karel; Protectors of Kronos; 2009/06/20; ELIAN KAREL; Elodis; POK mission; Abila City Prison; ABILA, Kronos; March 12; All News Today; President's office; Juliana Vann; 1998; KRONOS JAIL; GAStech; Tethyn; Minister of Justice; Karel; Chief of Police",96
12,All News Today; Adian Koppolis; Kronos; Valeria; 2007/03/21; Marcellus Edris; GASTECH; GAStech; ELODIS; Celia; Elodis Primary School,50
13,ABILA; All News Today; 1997; Protectors of Kronos; Carmine Osvaldo; Juliana Vann; Elodis; 1999/07/08; Cesare Nespola; Kronos; POK,66
14,benzene; Wellness for All; All News Today; 1998/05/16; Kronos; Elodis Community Health Center; acetic anhydride; chlorine dioxide; arsenic; ELODIS,54
15,ABILA; President; All News Today; 2009/03/12; police station; Elian Karel; Protectors of Kronos; Elodis; Michale Kraft; Saturday; Karel; GAStech; Kronos; POK,55
16,Silvia Marek; Jeroen; Elian Karel; Protectors of Kronos; ABILA; the afternoon; the assembly; Antaura Karel; Elodis; 19 June 2009; All News Today; 2012/06/20; Juliana Vann; the police; Kronos; POK; Henk Bodrogi; pepper spray; batons; Elian; three years ago today; public officials,92
17,ABILA; All News Today; 2014/01/19; Kronos capital building; GAStech-Kronos; GAStech; Kronos,33
18,ABILA; Mestache Vardshvna; All News Today; 2012/09/08; Elian Karel; Juliana Vann; Protectors of Kronos; 1998; 2009; Kronos,50
19,"Elian Karel; Abila Chief of Police; Abila Police Station; Elodis; ABILA, Kronos; Kraft; benzene; All News Today; Abila; Juliana Vann; 1998; June 19th; GAStech; Kronos; POK; Elian; Juliana; 2011/06/21; Karel",82
20,"Willem Vasco-PAIS; 5 million cubic meters; December 16, 2013; Mrs. Avila; ABILA; Sten St. George, Jr.; $327.25 million; $96.25 million; Athena Speaks; Haneson Ngohebo; Tethys; 2014/01/20; Ingrid Barranco; ADA Campo-Corrente; Mr. St. George, Jr.; Orhan Strum; $1.96 billion; GAStech; Kronos; $38.5 million; Miriam Avila; IPO",146
21,6 a.m.; January 20; ABILA; 10:00; Athena Speaks; Tethys; 2014/01/20; Sten St. George Jr.; department of fire of Abila; 14; Abila; GASTECH; government of Kronos; GAStech; Kronos; Edvard Vann; office of GAStech,114
22,"2009/02/21; Athena Speaks; civils servant of government; GASTECH; ABILA, Kronos; Carman of Adrien; GAStech; Kronos; POK",51
23,"ABILA; PRESIDENT Sten St George, Jr.; 8 AM; Tomorrow morning; Athena Speaks; Haneson Ngohebo; Blog scene; GAStech; St. George, Jr.; 2014/01/19; Kronos; IPO",58
24,ABILA; 2009/06/21; Athena Speaks; Elodis; 1998; Elan Carol; Siopa; Juliana; Kronos; POK,46
25,"ABILA; 14:30; Ravi Danisliau; AIRPORT Of ABILA; Danisliau; two planes; 12:30; Athena Speaks; GAStech - Kronos; Rome, Italy; Italy; Rome; 2014/01/20; GAStech; Kronos",68
26,"international Kronos; Elodis; Athena Speaks; Tiskele; government of Kronos; 1997/10/17; GAStech; Kronos; ABILA, Kronos",55
27,"2013/12/17; Athena Speaks; Carman d' Adrien; ABILA, Kronos; POK",41
28,"BODROGI, CARMIN; heroin; MDMA; 1/7/1992; GUDENZ, KEL; 12/1/1993; COARDA, SEVE; 8/31/1952; 2/17/1982; CUSEMA, BRITA; 3/26/1981; Athena Speaks; DUNNA, THAD; 4/3/1994; 3/17/1971; AWELON, CYNTHE; MORDECAI, FRANCISCO; PEAIRS, MELSHA; SALANIAU, FERDINAND; 2/15/1995; 2011/11/23; HACHISH; HOLANDE, ANDA; 7/2/1995; 5/13/1979; 3/20/1981; KIBALIAU, IYAN; 9/20/1974; BLUMIAU, WILLEM; MDMC",238
29,ABILA; President Dorel Kapelou II; Araullo; Athena Speaks; Former President Luis; Shine Araullo; Kronos; 2000/10/04; October 1,60
30,"Athena Speaks; 2000/08/18; Elodis; Sunday; Tiskele; GAStech; ABILA, Kronos; GAStech International",55
31,"ABILA; Sten St. George, Jr.; Athena Speaks; Michale Kraft; Carman d' Adrien; Elan Carol; THE CHIEF OF STOPPED POK; GAStech; Kronos; 2009/03/14",56
32,2005/09/26; Kronos; government; GAStech de Kronos; Athena Speaks; Elodis; Tiskele; Rufus Drymiau; GAStech; ELODIS; POK,49
33,last year; Abila; government; Athena Speaks; 2010/06/15; Elan Carol; Hagar Awelon; June 19; Kronos; Siopa d' Abila; guards of Kronos,61
34,ABILA; Africa; Middle East; Athena Speaks; guards of Kronos; Europe; Kronos; 2011/05/15,31
35,ABILA; Abila; 14; 17:00; Athena Speaks; Edvard Vann; Elodis; GASTECH; Kronos Police; 2014/01/20; GAStech; Kronos; POK,53
36,ABILA; armine Edria; Celia Edris; Athena Speaks; Elodis; hospital of Abila; GAStech; Marcellus Edris; Rufus Drymiau; 2007/04/11; Kronos; Valeria Edris,71
37,ABILA; 14; Athena Speaks; GASTECH; 2014/01/20; Kronos; GAStech Kronos,39
38,benzene; selenium; Water for All (WFA); barium; Kronos; Athena Speaks; Elodis; xylene; toluene arsenic; GAStech; chromium; lead; activist of Kronos; Tethys; 1998/11/17; ELODIS,83
39,2; organization of the businesses; 85 seats; General meeting; 2010/10/04; ABILA; President Kapelou II; Ren Touvi; Athena Speaks; 1.0%; 13; Kronesian; Dorel Kapelou II; part of the trade unions; Kronos; democratic party of Kronos; 98.7%,114
40,"Mr. Kapelou; Athena Speaks; Vincent Kapelou; President Kapelou; Kronos; ABILA, Kronos; 2012/03/10; POK",41
41,ABILA; Athena Speaks; 2010/06/21; police force; government of Kronos; plaza; police force of Abila; Kronos; POK,53
42,ABILA; Emilio Haber; 2011/07/29; Protectors of Kronos; Athena Speaks; No entities detected.; Rufus Drymiau; Siopa; Kronos; POK,46
43,Kronos; Abila; 1997/04/24; government; Athena Speaks; Elodis; Tiskele; GAStech; ELODIS; GAStech International,41
44,Elian Karel; Protectors of Kronos; chromium; June 19; toluene; arsenic; 2012/08/24; ABILA; selenium; Wellness for All; 1997; Jeroen Karel; 2011; Athena Speaks; Elodis; xylene; lead; WFA; benzene; Abila; Juliana Vann; 1998; 2009; GAStech; Kronos; GAStech Tiskele; POK; barium,132
45,2005/09/25; Kronos; Protectors of Kronos; Elodis; Tiskele Bend; Rufus Drymiau; Kronos Government; ELODIS; Central Bulletin; GAStech International,47
46,ABILA; Emilio Haber; Protectors of Kronos; Siopa district; Rufus Drymiau; Kronos Government; 2011/07/28; Kronos; POK; Central Bulletin,44
47,ABILA; 14 GAStech; Protector of Kronos; Abila; 17:00; Government; Edvard Vann; GAStech - Kronos; 6 hours; GASTECH; Kronos Police; 2014/01/20; Kronos; POK; Central Bulletin,65
48,Kronos; Abila; Elodis; Tiskele River; Tiskele Bend; government of Kronos; 1997/04/23; ELODIS; Central Bulletin; GAStech International,44
49,ABILA; 1997/10/16; Kronos; Government of Kronos; Elodis; Tiskele Bend; ELODIS; Central Bulletin; GAStech International,39
50,5 million cubic meters; GAStech - Kronos; Centrum; ABILA; $327.25 million; Government; $96.25 million; CFO; COO; Tethys; 2014/01/20; CIO; Ingrid Barranco; Orhan Strum; GASTECH; Kronos; Central Bulletin; Ada Campo-Corrente; Miriam Avila; GAStech International; IPO,90
51,Elian Karel; Protectors of Kronos; ABILA; Wellness for All; 1997; Jeroen Karel; 2011; Elodis; WFA; WFA organization; Government of Kronos; 2012/08/23; Tiskele Bend; 2009; Kronos; POK; Central Bulletin; Juliana; GAStech International,99
52,ABILA; Democratic Party of Kronos; Dorel Kapelou II; Ren Touvi; Party of Kronos Industrialists; 2010/10/03; Kronos; Central Bulletin; General Assembly,66
53,ABILA; Elian Karel; Government of Kronos; Protectors of Kronos; Siopa district; Hagar Awelon; June 19; Kronos; 2010/06/14; Central Bulletin,45
54,"KRONOS POLICE ARREST BLOTTER; THEFT ALL OTHER-3RD DEGREE; DRUG PARAPHERNALIA; 1/7/1992; THEFT SHOPLIFTING-5TH DEGREE; ABILA; GUDENZ, KEL; FORGERY; 8/31/1952; CUSEMA, BRITA; 3/26/1981; DUNNA, THAD; FAILURE TO MAINTAIN CONTROL; 4/3/1994; 3/17/1971; AWELON, CYNTHE; MORDECAI, FRANCISCO; PEAIRS, MELSHA; 2/15/1995; 2011/11/23; PEDESTRN SUBJECT TO SIGNAL; HOLANDE, ANDA; PUBLIC INTOXICATION; Central Bulletin; 7/2/1995; 3/20/1981; KIBALIAU, IYAN; 9/20/1974; BLUMIAU, WILLEM; DWLU; IMPROPER BRAKE LIGHT",256
55,benzene; Wellness for All; selenium; barium; Kronos; xylene arsenic; Government of Kronos; Protectors of Kronos; chromium; lead; WELLNESS FOR ALL; Tethys; toluene; 1998/11/16; Central Bulletin; ELODIS; GAStech International,67
56,President Kapelou; Luis Araullo; Abila; Dorel Kapelou II; 62%; 36%; 2000/10/02; Kronos; 1 October; Central Bulletin,44
57,"2009/02/19; Adrien Carman; GASTECH; ABILA, Kronos; POK; Central Bulletin; GAStech International",33
58,ABILA; TRAFFIC ACCIDENT NEAR ELODIS; Celia Edris; Carmine Edris; Elodis; Valeria Edris; Marcellus Edris; 9; Rufus Drymiau; 2007/04/11; Kronos; Central Bulletin; GAStech International,66
59,ABILA; Abila police; Protectors of Kronos; 2010/06/21; Kronos; POK; Central Bulletin,29
60,"ABILA; Initial Public Offering; GAStech - Kronos; GAStech; Sten Sanjorge, Jr.; 2014/01/19; Kronos; Central Bulletin; IPO",51
61,Protectors of Kronos; a month ago; GAStech Kronos; ABILA; 10:00; Abila Police Department; 6 hours; Kronos Government; Tethys; 2014/01/20; 14; Abila Fire Department; GASTECH; GAStech; Kronos; Central Bulletin; Edvard Vann; GAStech International,90
62,ABILA; Elodis; Tiskele Bend; 2000/08/17; GAStech; Kronos; Central Bulletin; GAStech International,46
63,ABILA; Protector of Kronos; 2009/06/21; Elian Karel; Protectors of Kronos; Elodis; Remember Juliana; 1998; Siopa; Justice for Elian; Kronos; POK; Central Bulletin,54
64,ABILA; Elian Karel; Protectors of Kronos; Michale Kraft; GAStech - Kronos; 2009/03/13; Kronos; POK; Central Bulletin; Adrien Carman,46
65,"2013/12/17; ABILA, Kronos; POK; Central Bulletin; Adrien Carman",24
66,VOICES; Centrum Sentinel; Abila; 20 January 2014; Tethys,20
67,VOICES; Centrum Sentinel; 20 January 2014; 20 gen. 2014; 1025,25
68,21 January 2014; VOICES; Centrum Sentinel; Abila; 10:15; Tethys; GAStech-Kronos; GAStech,36
69,VOICES; Centrum Sentinel; Abila; 20 January 2014; GAStech,20
70,VOICES; Centrum Sentinel; 20 January 2014; 1251; the police; the government; GAStech,27
71,GAStech; VOICES; Centrum Sentinel; 20 January 2014,17
72,Captain Federigo Accardi; VOICES; Centrum Sentinel; 20 January 2014,19
73,VOICES; Centrum Sentinel; 20 January 2014; Sanjorge; fire unit; GAStech,24
74,VOICES; Centrum Sentinel; 20 January 2014; GAStech; Kronos,20
75,The megaphone of fire unit; VOICES; Centrum Sentinel; 20 January 2014,21
76,VOICES; Centrum Sentinel; 20 January 2014; government reception; Sanjorge; GAStech,24
77,1512; VOICES; Centrum Sentinel; 20 January 2014; Two vehicles; GAStech,24
78,1840; VOICES; Centrum Sentinel; 20 January 2014; Abila; limousine; airport,26
79,VOICES; Centrum Sentinel; 20 January 2014; GAStech; Kronos; 2020,24
80,21 January 2014; VOICES; Centrum Sentinel; Abila; GAStech,20
81,Hullaballoo; VOICES; Centrum Sentinel; 20 January 2014; VIPs; 1538,25
82,VOICES; Centrum Sentinel; 20 January 2014; Abila; 1942; GAStech; Kronos,27
83,VOICES; Centrum Sentinel; 20 January 2014; National Fire Departments; GAStech,21
84,VOICES; Centrum Sentinel; 20 January 2014; two automobiles; squad of the police; 1247,25
85,1410; VOICES; Centrum Sentinel; 20 January 2014; GAStech,21
86,1027; VOICES; Centrum Sentinel; 20 January 2014,17
87,VOICES; Centrum Sentinel; Abila; 20 January 2014; NEWS; GAStech,22
88,VOICES; Centrum Sentinel; 20 January 2014; Sanjorge; capitol,20
89,VOICES; Centrum Sentinel; 20 January 2014; Kapelou; Sten Sanjorge; Council; GAStech; the ministers,32
90,21 January 2014; VOICES; Centrum Sentinel; Abila; Sten Sanjorge; Tethys; GAStech,30
91,VOICES; Centrum Sentinel; Abila; 20 January 2014; 1802,20
92,VOICES; Centrum Sentinel; 20 January 2014; 1621; police; glass elevator; Reporter,24
93,VOICES; Centrum Sentinel; 20 January 2014; 1807; GAStech,21
94,21 January 2014; VOICES; Centrum Sentinel; $20 MILLION; LAW OF DEFIANCE; OUR CHILDREN; BUSINESSMEN; KLEPTOCRACY; GOVERNMENT; THIS LARGE NATION; ELITIST ONES; OUR RESOURCES; KRONOS PEOPLE; OUR NATIVE LAND; OUR GOVERNMENT; UNITED STATES; OUR LIFESTYLE; FOREIGN SOCIETIES; GREED CELEBRATION,92
95,VOICES; Centrum Sentinel; 20 January 2014; The National Fire Departments; GAStech,22
96,government civil employees; VOICES; Centrum Sentinel; 20 January 2014; CEO Sanjorge; the capitol,26
97,21 January 2014; VOICES; Centrum Sentinel; the government; Petrus Gerhard; Kronos; POK,27
98,VOICES; Centrum Sentinel; 1937; 20 January 2014; island of Kronos; police of Kronos; Kronos,30
99,1356; VOICES; Centrum Sentinel; 20 January 2014; GAStech-Tethys; GAStech,28
100,VOICES; Centrum Sentinel; 20 January 2014; 1837; GAStech; the first executive breakfast,26
101,VOICES; Centrum Sentinel; 20 January 2014; fire unit; bomb; squad of the bomb,23
102,ABILA; Silvia Marek; 2012/11/11; Wednesday; Kronos; POK; Daily Pegasus,37
103,Kronos; 2002/05/27; HASR; oncology; 1998; Nespola; general hospital of Abila; LEAF 2002; municipal Web site of Elodis; 178%; PUBLIC HEALTH OF ELODIS; ELODIS; Daily Pegasus,71
104,ABILA; Elian Karel; Elodis; Michale Kraft; the president; Saturday; 2009/03/13; Karel; GAStech; Kronos; POK; Daily Pegasus,69
105,"Elian Karel; Elodis; ABILA, Kronos; benzene; Abila; two weeks; 19 of June; Julian Vann; 1998; GAStech; Kronos; head of Abila of the police; Michale Kraft; POK; Elian; Coroner of the city of Abila; 2011/06/21; Karel; Daily Pegasus",89
106,Valeria; Carmine; Abila; the city of Elodis; Elodis; The police; 2007/03/21; Marcellus Edris; Fixes Koppolis; Celia; GAStech; Kronos; Koppolis; ELODIS; Daily Pegasus,92
107,Charley Normand; Griffith Mabel; Abila; government; Mabel; Elodis; Julian; 2001/09/02; Tiskele; GAStech; Kronos; POK; ELODIS; Daily Pegasus,76
108,"Elian Karel; Abila; Kronosian; July of 2010; 19 of June; Julian; Elian; 2010/06/21; Karel; Kronos; ABILA, Kronos; Daily Pegasus; POK",53
109,statistic of the health; Abila; government; KRONOS; 1998/05/17; Elodis; Reese; Pondo Reese; Tiskele; ministry of the health; medical files; Kronos; ELODIS; Daily Pegasus; Henk Bodrogi,76
110,"Elian Karel; office of the president; 12 of March; Elodis; ABILA, Kronos; police station; 2009/06/21; Abila; Julian Vann; 1998; Kronos; GAStech de Tethyn; Michale Kraft; POK; Kriste Brontes; march; Karel; Daily Pegasus",107
111,Elodis; 2004/05/31; 1998; municipal Web site of Elodis; Kronos; ELODIS; Daily Pegasus,51
112,1961; Sten Sanjorge; Reese; Tiskele; KRONOS; Elodis; '94; Osvaldo; Tethys; 25 of April of 1998; ELODIS; Sten Sanjorge Jr; Mr. hank Fluss; Pondo Reese; GAStech; Kronos; Henk Bodrogi; 1998/03/21; 250 years; Daily Pegasus,109
113,Abila; Elodis; Bodrogi; 2001/03/23; Minister of the health; General Assembly; the end of this year; Will stop Nespola; Kronos; Daily Pegasus; Henk Bodrogi,54
114,ABILA; 1997; Carmine Osvaldo; Elodis; Julian Vann; Nespola; 1999/07/08; Osvaldo; MINISTER OF THE HEALTH; Kronos; POK; Daily Pegasus; Prime minister of the health,76
115,Elian Karel; 1993; the city of Abila; 2009/03/09; ABILA; the electrical systems; 1997; general hospital of Abila; Jon L.; the meeting of yesterday; foreign operations of the gas; the park the city of Abila; Abila; Julian Vann; Julian; 1998; governmental offices of Kronos; GAStech; Kronos; POK; Henk Bodrogi; the ministers; the office of the president; president Araullo; Saturday; the nonlucrative hospital; Karel; foreign companies; 20 years old; Daily Pegasus,183
116,ABILA; Mestache Vardshvna; Elian Karel; 7 of September of 2012; Julian Vann; 1998; 2014/03/26; Kronos; Daily Pegasus,50
117,benzene; Elodis Community; 1998/05/17; dioxide of clorina; acetic anhydride; health for everything; 1998; arsenic; 30; PUBLIC HEALTH OF ELODIS; Kronos; ELODIS; Daily Pegasus,60
118,Silvia Marek; 19 of June of 2009; Jeroen; assembly; Elian Karel; ABILA; command batons; Antaura Karel; 2012/06/22; Elodis; Marek; police of Abila; Abila; Julian Vann; Julian; The police; Kronos; POK; aerosol of the pepper; Henk Bodrogi; Elian; three years ago today; Daily Pegasus,104
119,ABILA; Kapelou the Jr of II; 2014/01/19; Sten Sanjorge; GAStech-Kronos; GAStech; Kronos; Daily Pegasus,42
120,ABILA; Kronos; 1997; Elodis; Will stop Nespola; 1998/11/16; POK; Daily Pegasus; Henk Bodrogi,46
121,"leaders of Elodis; Earth; scientific analysis; Bodrodgi; Sten Sanjorge; Bodrogi; 1990; Tiskele; Joclyn Reynolds; selenium; Sanjorge; KRONOS; Elodis; lead; Reynolds; Ferro; 1998/04/27; Asia South-Eastern; 200 years; ELODIS; benzene; Kronesian; tolueno; health for all; ""health for all""; 15 of May of 1998; Pondo Reese; government of Kronos; GAStech; arsenic of xylene; Henk Bodrogi; Jr; Mr. Fluss; Fluss hank; company of the gas; Daily Pegasus",175
122,second; civil employees; Tiskele; fourteen years; ABILA; 2013/06/22; boats; Elodis; great homes; banks; automobiles of luxury; truth; president Kapelou; benzene; three years; park; Abila; 19 of June; Julian Vann; 1998; cafes; aviators; Kronos; POK; justice; public; Pacific; Daily Pegasus,107
123,fenol; ethylene glycol; HASR; Elodis; acetic anhydride; 2000/06/01; 1998; lead; Nespola; oncology; general hospital of Abila; PUBLIC HEALTH OF ELODIS; 89%; Kronos; ELODIS; Daily Pegasus,69
124,ABILA; 1993/02/04; Luis Araullo; 14; Mars Government; The 14; offices of the president; 86-14 month; Sarto Takings; education; Kronos; utilities; healthcare; Daily Pegasus,51
125,"""songs of the farmer""; 2005/04/07; federal police of Kronos; ""this are our earth""; Tiskele; GAStech; Kronos; POK; ELODIS; Daily Pegasus",57
126,ABILA; Silvia Marek; Elodis; 2012/04/10; Kronos; Daily Pegasus,26
127,1998/08/21; OF TEN YEARS; Tiskele; 21 of August; 20 kilometers; the family home; the river; the funeral services; Elodis; the government; the small girl; the rural municipality; Tethys; ELODIS; benzene; Julian Vann; Julian; GAStech; Kronos; the corporation; Daily Pegasus,93
128,"Black Sea; Tethys-only; Kronosian; GAStech TV; 2013/02/24; Kronosian government; Sten Sanjorge, Jr; Europe; Tethys; Mediterranean region; GAStech; Kronos; Everyday News",70
129,"emergency equipment; Kosovo; O.N.U; Health for all; September; aid equipment; Cord of Jim; victims of the earthquake; Taiwan; Dr Mahmed; 15 million; global report; 2500 people; Singapur THAT TOOK CARE OF; Richter; spokesman; health; Malaysia; FoodSupport; medicines; Everyday News; Izmit, Turkey; global press; Dr Jayala Mahmed; 1999/11/16; earthquake; Turkey; 100,000 buildings; local press",130
130,"""protectors of Kronos""; the presidential office; Kapalou; 4 of March of 2010; Karel Kapelou II; the government; Petra Hohimae; 2014/03/26; Mediterranean; Kronos; Everyday News",60
131,"Mr. Drymiau; Kronos de Kronos; Kronos de Abila; 1997; 2009/02/23; Tethys; Abila; protectors of Kronos; health for all; 1998; government of Kronos; POK terrorism; Kronos; Everyday News; POK; Tuesday; Kronosian; The protectors of Kronos; Rufus Drymiau; ""Justice for Julian""",104
132,North Sea; the abundant natural resources; the industry of the gas; Sten Sanjorge; Glasgow; Fluss hank of the Jr; Sten; Tethan; 60s; Sanjorge; the capital city; Scotland; Tethys; Thethys; 1974; 70s; GAStech; Everyday News; 1982/10/03; the new energy,132
133,observation post; civil employees; insecticides; Interpol; 21 October 2013; Tethys; Arise; Asteria; caramel of cotton; Tethys Counterdrug; spice soña; Everyday News; flower of tulip; harbor; Loblaw; Loblaw Robert; Asterian; 2014/03/26; MDMC; detergent,96
134,9AM (KDT); Abila; Elodis; Fixes Koppolis; Intersection; GAStech; Kronos; Everyday News; 2007/03/19,38
135,2012/06/21; capital building; Abila; Tuesday; Elian Karel; police; government; spokesmen of the government; groups of the criminals; Julian Vann; the government; the presidential farm; forces of the security; presidential mansion; GAStech; Kronos; Everyday News; POK,77
136,CEO Sten Sanjorge; Jr; 2009/06/23; Elian Karel; Abila; 10 years; Kronosian; Wednesday; GASTech; Sanjorge; Julian Vann; 1998; Karel; GAStech; Kronos; Everyday News; May; POK,86
137,2014/01/21; GASTech; Council; Tethan; Juan Rathburn; APA; Tethys; Sten Sanjorge Jr; Ingrid Barranco; Abila; protectors of Kronos; Willem Vasco-Pais; fire alarm; Orhan Strum; Kronos; POK; Everyday News; $20 million; Ada Campo-Corrente; Asterian,98
138,"the times; slate; 1984/05/05; Sten Sanjorge, Jr; 10 next years; the government of Kronos; gas; 20, 30 or 40 years; local advice; Europe; SanJorge; Oskar Wertz; oil; European; west; GAStech; Kronos; Everyday News; fossil fuel; Mediterranean Sea; government; local communities; University of Tethys; marine atmospheres",121
139,The initial protests; The government; The environmental situation; The citizens; Abila; The company; Dorel Kapelou II; Abilia; The administration; The police; Tethys; The hundreds of rural citizens; 2013/11/13; GAStech; Kronos; Everyday News; Shawn Pastorini; Terek Kamal,94
140,CEOs; Kronosians; Krono; A; years 80; 15 years; Foreign CEOs; overseas markets; country; Hay; Q; Elodis; culture; CEO; Tethys; foreign CEO; Tethian; European; industry; A to B; 17 of January of 1995; GAStech; Kronos; Everyday News; foreign executive; Fluss hank; Kronosian; foreign CEOs; 2014/03/26; luxury merchandize,136
141,K2bn; civil employees; K17; 2012/02/22; K3.5bn; six years ago; 2012; budgetary exercise 2011-12; North America; 15% the last year; Kronos fields; last year; oil; .83m of oil per day; 20 years; 26 wells; Julio Jecovic; Norway; production costs; 12 last months; oil and gas industry; 15 wells; GAStech; Kronos; Everyday News; energy; annual survey; government; Kronos Jecovic; Oil and the gas Kronos; K30; gas fields; energy minister; 27%,144
142,"department of the emergency; bottoms; Potter de Ralf; organized crime; Alicia Bianca; political groups; man; Biance; Elodis; general hospital of Abila; ""spice soña""; ""flower of tulipán""; designer drugs; ""It""; insurgent organizations; investigators; drug traffic; greater region of the city; chemical agents; police; socioeconomic youths; 2013/02/09; body of firemen of Abila; ""herbaria therapy""; K18; Bianca; cocaine; ""caramel of cotton""; female; The designer drugs; synthetic marijuana; Sgt Antonio Arresta; Kronos; Everyday News; toxicología; 54 years; adults; Arresta; army of people; medical calls of the emergency; ""the cold"" drug; 4 of February; cotton caramel; last month; ""cotton caramel""; Asterian; general of Abila; K166; Hospitals of Abila; Citywide",261
143,20 Jan 2014; VOICES; 20 January 2014; Sanjorge; Homeland Illumination; Maha Salo; GAStech; Kronos,37
144,21 January 2014; VOICES; 21 Jan 2014; Protectors of Kronos; Homeland Illumination; Petrus Gerhard; Maha Salo; Kronos; POK,43
145,ABILA; President Kapelou II; 19 January 2014; CEO Sten Sanjorge Jr.; Homeland Illumination; Petrus Gerhard; GAStech-Kronos; GAStech; Kronos,48
146,22 March 2001; Abila; Protectors of Kronos; Elodis; Homeland Illumination; Maha Salo; Kronos; General Assembly; Henk Bodrogi,50
147,20 Jan 2014; VOICES; 20 January 2014; 1251; Homeland Illumination; The police; Maha Salo; GAStech; GAStech officials,42
148,"20 June 2011; Elian Karel; Abila City Coroner; Kronos; Juliana Vann; Elodis; Homeland Illumination; Elian; 1998; Abila Chief of Police; Abila Police Station; June 19th; Karel; GAStech; Michale Kraft; ABILA, Kronos; POK",81
